Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report,Size
LER 09-004-00 for Fort Calhoun Station Regarding Containment Integrity was Unknowingly Violated During Performance of Leak Test.,ML100490163,"NRC/Document Control Desk,NRC/NRR",,Reinhart J A,Omaha Public Power District,02/02/2010,05000285,"Letter,Licensee Event Report (LER)",LER 09-004-00,228.75 Kb
LER 09-005-00 from Fort Calhoun Station Re: Inoperable Auxiliary Feedwater Train Due to an Inoperable Injection Valve.,ML100540116,"NRC/Document Control Desk,NRC/NRR",,Reinhart J A,Omaha Public Power District,02/10/2010,05000285,"Letter,Licensee Event Report (LER)",LER 09-005-00,325.12 Kb
"LER 09-004-01 for Fort Calhoun Station, re: Containment Integrity Unknowingly Violated During Performance of a Leak Test.",ML101250148,"NRC/Document Control Desk,NRC/NRR",,Reinhart J A,Omaha Public Power District,04/23/2010,05000285,"Letter,Licensee Event Report (LER)",LER 09-004-01,270.1 Kb
LER 09-005-01 for Fort Calhoun Regarding Inoperable Auxiliary Feedwater Train Due to an Inoperable Injection Valve.,ML101340125,"NRC/Document Control Desk,NRC/NRR",,Reinhart J A,Omaha Public Power District,05/03/2010,05000285,"Letter,Licensee Event Report (LER)",LER 09-005-01,357.38 Kb
LER 10-002-00 for Fort Calhoun Regarding Failed Feeder Cable Due to Inadequate Procedure Causes Station Shutdown.,ML101610090,"NRC/Document Control Desk,NRC/NRR",,Reinhart J A,Omaha Public Power District,06/04/2010,05000285,Licensee Event Report (LER),LER 10-002-00,314.14 Kb
"LER 10-001-00, for Fort Calhoun Station, Regarding Containment Integrity Violated During Performance of Leak Test.",ML101610091,"NRC/Document Control Desk,NRC/NRR",,Reinhart J A,Omaha Public Power District,06/04/2010,05000285,"Letter,Licensee Event Report (LER)",LER 10-001-00,298.97 Kb
Special Report on Inoperability of Main Steam Line Radiation Monitor RM-064 for Post Accident Monitoring.,ML101940066,"NRC/Document Control Desk,NRC/NRR",,Reinhart J A,Omaha Public Power District,07/12/2010,05000285,"Letter,Licensee Event Report (LER)",,853.46 Kb
Cancellation of Licensee Event Report 2009-003 for the Fort Calhoun Station.,ML102230421,"NRC/Document Control Desk,NRC/NRR",,Reinhart J A,Omaha Public Power District,08/04/2010,05000285,"Letter,Licensee Event Report (LER)",LER 09-003-00,51.63 Kb
"LER  10-004-00, for Fort Calhoun Station, Regarding Acoustic Monitor Failure Due to Inadequate Barriers for Protection of Cable.",ML102430366,"NRC/Document Control Desk,NRC/NRR",,Reinhart J A,Omaha Public Power District,08/30/2010,05000285,"Letter,Licensee Event Report (LER)",LER 10-004-00,438.16 Kb
LER 10-001-01 for Fort Calhoun Station Regarding Containment Integrity Violated During Refueling Leak Test Due to Inadequate Training.,ML102520373,"NRC/Document Control Desk,NRC/NRR",,Goodell J R,Omaha Public Power District,08/26/2010,05000285,"Letter,Licensee Event Report (LER)",LER 10-001-01,266.09 Kb
LER 10-005-00 for Fort Calhoun Regarding Inoperability of the Emergency Diesel Generator Fuel Oil Transfer System.,ML102810510,"NRC/Document Control Desk,NRC/NRR",,Reinhart J A,Omaha Public Power District,10/08/2010,05000285,"Letter,Licensee Event Report (LER)",LER 10-005-00,2.18 Mb
LER 10-006-00 for Fort Calhoun Regarding Reactor Trip Due to Erroneous Moisture Separator Trip Signal.,ML110540022,"NRC/Document Control Desk,NRC/NRR",,Nellenbach T R,Omaha Public Power District,02/22/2011,05000285,"Letter,Licensee Event Report (LER)",LER 10-006-00,265.48 Kb
"LER 10-005-01 for Fort Calhoun Station, regarding Inoperability of the Emergency Diesel Generator Fuel Oil Transfer System.",ML110840451,"NRC/Document Control Desk,NRC/NRR",,Reinhart J A,Omaha Public Power District,01/19/2011,05000285,"Letter,Licensee Event Report (LER)",LER 10-005-01,218.11 Kb
"LER 11-001-00 for Fort Calhoun, Regarding Inadequate Flooding Protection Due To Ineffective Oversight.",ML110871994,"NRC/Document Control Desk,NRC/NRR",,Reinhart J,Omaha Public Power District,03/28/2011,05000285,Licensee Event Report (LER),LER 11-001-00,267.6 Kb
LER 11-002-00 for Fort Calhoun Station Regarding Failure of an RPS Trip Unit.,ML110950134,"NRC/Document Control Desk,NRC/NRR",,Reinhart J,Omaha Public Power District,04/04/2011,05000285,"Letter,Licensee Event Report (LER)",LER 11-002-00,129.41 Kb
"LER 11-003-00, for Fort Calhoun Station, Regarding Inadequate Flooding Protection Due to Ineffective Oversight.",ML110950135,"NRC/Document Control Desk,NRC/NRR",,Reinhart J,Omaha Public Power District,04/04/2011,05000285,"Letter,Licensee Event Report (LER)",LER 11-003-00,130.72 Kb
"LER 11-004-00 for Fort Calhoun, Regarding Isolation of Both Trains of Safety Related Auxiliary Feedwater.",ML110960214,"NRC/Document Control Desk,NRC/NRR",,Reinhart J,Omaha Public Power District,04/05/2011,05000285,"Letter,Licensee Event Report (LER)",LER 11-004-00,129.47 Kb
"LER 10-006-01 for Fort Calhoun, Regarding Reactor Trip Due to Erroneous Moisture Separator Trip Signal.",ML111220074,"NRC/NRR,NRC/Document Control Desk",,Reinhart J,Omaha Public Power District,04/29/2011,05000285,"Letter,Licensee Event Report (LER)",LER 10-006-01,132.06 Kb
LER 11-005-00 for Fort Calhoun Station Regarding Failure to Correctly Enter Technical Specifications Limiting Condition for Operation for the Reactor Protective System.,ML111300096,"NRC/NRR,NRC/Document Control Desk",,Reinhart J,Omaha Public Power District,05/09/2011,05000285,"Letter,Licensee Event Report (LER)",LER 11-005-00,184.99 Kb
"LER 11-003-01 for Fort Calhoun, Regarding Inadequate Flooding Protection Due to Ineffective Oversight.",ML111370123,"NRC/NRR,NRC/Document Control Desk",,Nellenbach T R,Omaha Public Power District,05/16/2011,05000285,"Letter,Licensee Event Report (LER)",LER 11-003-01,134.31 Kb
"LER 11-006-00, for Fort Calhoun Regarding Inoperability of Both Trains of Containment Coolers Due to a Mispositioned Valve.",ML111440216,"NRC/Document Control Desk,NRC/NRR",,Reinhart J,Omaha Public Power District,05/23/2011,05000285,"Letter,Licensee Event Report (LER)",LER 11-006-00,121.76 Kb
LER 11-007-00 For Fort Calhoun Station Regarding Violation of Technical Specifications due to Reactor Coolant System Boundary Leakage.,ML111710274,"NRC/NRR,NRC/Document Control Desk",,Reinhart J A,Omaha Public Power District,06/17/2011,05000285,"Letter,Licensee Event Report (LER)",LER 11-007-00,358.72 Kb
LER 11-002-01 for Fort Calhoun Station Regarding Failure of an RPS Trip Unit.,ML112081990,"NRC/Document Control Desk,NRC/NRR",,Reinhart J A,Omaha Public Power District,07/27/2011,05000285,"Letter,Licensee Event Report (LER)",LER 11-002-01,370.91 Kb
"LER 11-004-01 for Fort Calhoun Station, Regarding Isolation of Both Trains of Safety Related Auxiliary Feedwater.",ML112101477,"NRC/Document Control Desk,NRC/NRR",,Reinhart J,Omaha Public Power District,07/28/2011,05000285,"Letter,Licensee Event Report (LER)",LER 11-004-01,418.56 Kb
LER 11-008-00 for Fort Calhoun Station Regarding Fire in Safety Related 480 Volt Electrical Bus.,ML112170270,"NRC/Document Control Desk,NRC/NRR",,Reinhart J,Omaha Public Power District,08/05/2011,05000285,"Letter,Licensee Event Report (LER)",LER 11-008-00,370.55 Kb
LER 11-009-00 for Fort Calhoun Regarding Manual Start of a Safety System.,ML112360585,"NRC/NRR,NRC/Document Control Desk",,Reinhart J A,Omaha Public Power District,08/24/2011,05000285,"Letter,Licensee Event Report (LER)",LER 11-009-00,947.21 Kb
"LER 11-008-01 for Fort Calhoun, Regarding Fire in Safety Related 480 Volt Electrical Bus.",ML113010208,"NRC/NRR,NRC/Document Control Desk",,Bannister D J,Omaha Public Power District,10/27/2011,05000285,"Letter,Licensee Event Report (LER)",LER 11-008-01,423.46 Kb
LER 11-003-03 for Fort Calhoun Station Regarding Inadequate Flooding Protection Due To Ineffective Oversight.,ML113530555,"NRC/NRR,NRC/Document Control Desk",,Bannister D J,Omaha Public Power District,12/17/2011,05000285,"Letter,Licensee Event Report (LER)",LER 11-003-03,510.04 Kb
LER 11-010-00 for Fort Calhoun Station re Fire Causes a Circuit Breaker to Open Outside Design Assumptions.,ML12018A044,"NRC/Document Control Desk,NRC/NRR",,Bannister D J,Omaha Public Power District,01/16/2012,05000285,"Letter,Licensee Event Report (LER)",LER 11-010-00,128.43 Kb
"LER 11-003-02 for Fort Calhoun, Regarding Inadequate Flooding Protection Due to Ineffective Oversight.",ML12061A224,"NRC/NRR,NRC/Document Control Desk",,Bannister D J,Omaha Public Power District,03/01/2012,05000285,"Letter,Licensee Event Report (LER)",LER 11-003-02,595.25 Kb
LER 12-001-00 for Fort Calhoun Regarding Inadequate Flooding Protection Procedure.,ML12102A096,"NRC/Document Control Desk,NRC/NRR",,Bannister D J,Omaha Public Power District,04/10/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-001-00,446.81 Kb
"LER 12-005-00, for Fort Calhoun Station, Regarding TS Violation Due to Inadequate Testing of DG Fuel Pumps.",ML12115A172,"NRC/NRR,NRC/Document Control Desk",,Bannister D J,Omaha Public Power District,04/23/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-005-00,470.94 Kb
LER 12-003-00 for Fort Calhoun Station Regarding Non-Conservative Error in Calculation for Alternate Hot Leg Injection Results in Unanalyzed Condition.,ML12135A286,"NRC/Document Control Desk,NRC/NRR",,Bannister D J,Omaha Public Power District,05/11/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-003-00,440.51 Kb
LER 12-003-00 for the Fort Calhoun Station Regarding Non-Conservative Error in Calculation for Alternate Hot Leg Injection Results in Unanalyzed Condition.,ML12135A379,"NRC/NRR,NRC/Document Control Desk",,Bannister D J,Omaha Public Power District,05/11/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-003-00,440.51 Kb
LER 12-005-01 for Fort Calhoun Station Regarding Technical Specification Violation Due to Inadequate Testing of Emergency Diesel Fuel Pumps.,ML12157A127,"NRC/NRR,NRC/Document Control Desk",,Goodell J R,Omaha Public Power District,06/01/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-005-01,506.84 Kb
LER 12-006-00 for Fort Calhoun Regarding Operation of Component Cooling Pumps Outside of the Manufacturers Recommendation.,ML12178A293,"NRC/Document Control Desk,NRC/NRR",,Bannister D J,Omaha Public Power District,06/25/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-006-00,442 Kb
LER 11-010-01 for Fort Calhoun Station Regarding Fire Causes a Circuit Breaker to Open Outside Design Assumptions.,ML121850033,"NRC/Document Control Desk,NRC/NRR",,Bannister D J,Omaha Public Power District,06/29/2012,05000285,"Letter,Licensee Event Report (LER)",LER 11-010-01,357.72 Kb
LER 12-007-00 for Fort Calhoun Regarding Failure of Pressurizer Heater Sheath.,ML12205A188,"NRC/NRR,NRC/Document Control Desk",,Bannister D J,Omaha Public Power District,07/20/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-007-00,438.58 Kb
"LER 12-009-00 for Fort Calhoun Station, Regarding Inoperable Equipment due to Lack of Environmental Qualifications.",ML12206A056,"NRC/Document Control Desk,NRC/NRR",,Bannister D J,Omaha Public Power District,07/23/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-009-00,478.28 Kb
LER 12-004-00 for Fort Calhoun Station re Inadequate Analysis of Drift Affects Safety Related Equipment.,ML12208A037,"NRC/NRR,NRC/Document Control Desk",,"Bannister D J,Zyvoloski R A",Omaha Public Power District,05/29/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-004-00,413.33 Kb
LER 12-002-00 for Fort Calhoun Regarding Inadequate Qualifications for Containment Penetrations Renders Containment Inoperable.,ML12208A313,"NRC/NRR,NRC/Document Control Desk",,Bannister D J,Omaha Public Power District,05/01/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-002-00,417.6 Kb
LER 12-008-00 for Fort Calhoun Station Regarding Technical Specification Violation for Fuel Movement (VA-66).,ML12212A334,"NRC/Document Control Desk,NRC/NRR",,Bannister D J,Omaha Public Power District,07/27/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-008-00,174.32 Kb
LER 12-010-00 for Fort Calhoun Station Regarding Seismic Qualification of Instrument Racks.,ML12219A010,"NRC/NRR,NRC/Document Control Desk",,Bannister D J,Omaha Public Power District,08/03/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-010-00,473.89 Kb
"LER 12-011-00 for Fort Calhoun Station, Regarding Emergency Diesel Inoperability Due to Bus Loads During a LOOP.",ML12220A167,"NRC/NRR,NRC/Document Control Desk",,Bannister D J,Omaha Public Power District,08/06/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-011-00,148.03 Kb
"LER 12-004-01 for Fort Calhoun Station, ""Inadequate Analysis of Drift Affects Safety Related Equipment"".",ML12226A179,"NRC/Document Control Desk,NRC/NRR",,Bannister D J,Omaha Public Power District,08/10/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-004-01,122.31 Kb
"LER 12-012-00 for Fort Calhoun, Regarding Multiple Safety Injection Tanks Rendered Inoperable.",ML12227A289,"NRC/Document Control Desk,NRC/NRR",,Bannister D J,Omaha Public Power District,08/13/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-012-00,229.1 Kb
LER 12-013-00 for Fort Calhoun Station Regarding Inadequate Calculation of Uncertainty Results a Technical Specification Violation.,ML12233A178,"NRC/NRR,NRC/Document Control Desk",,Bannister D J,Omaha Public Power District,08/17/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-013-00,483.6 Kb
"LER 12-015-00 for the Fort Calhoun Station, ""Electrical Impacted by High Energy Line Break Outside of Containment"".",ML12244A053,"NRC/NRR,NRC/Document Control Desk",,Bannister D J,Omaha Public Power District,08/30/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-015-00,394.59 Kb
LER 12-005-00 for Fort Calhoun Station Regarding TS Violation Due to Inadequate Testing of DG Fuel Pumps.,ML12250A189,"NRC/NRR,NRC/Document Control Desk",,Bannister D J,Omaha Public Power District,04/23/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-005-00,464.65 Kb
LER 12-014-00 for Fort Calhoun Regarding Containment Beam 22 Loading Conditions Outside of the Allowable Limits.,ML12255A038,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,09/10/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-014-00,414.84 Kb
LER 12-016-00 for Fort Calhoun Station Regarding Unanalyzed Charging System Socket Welds to the Reactor Coolant System.,ML12262A317,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,09/17/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-016-00,486.74 Kb
LER 12-017-00 for Fort Calhoun Station Regarding Containment Valve Actuators Design Temperature Ratings Below those Required for Design Basis Accidents.,ML12268A237,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,09/24/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-017-00,437.13 Kb
"LER 12-018-00 for the Fort Calhoun Station, ""Containment Air Cooling Units Operated Outside of Technical Specifications during Cycle 26"".",ML12270A134,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,09/25/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-018-00,388.33 Kb
"LER 12-019-00 for Fort Calhoun Station, Regarding Traveling Screen Sluice Gates Found with Dual Indication.",ML12298A356,"NRC/Document Control Desk,NRC/NRR",,Cortopassi L P,Omaha Public Power District,10/15/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-019-00,485.5 Kb
LER 12-004-02 for Fort Calhoun Station Regarding Inadequate Analysis of Drift Affects Safety Related Equipment.,ML12305A319,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,10/27/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-004-02,135.06 Kb
LER 12-007-01 for Fort Calhoun Station Regarding Failure of Pressurizer Heater Sheath.,ML12305A531,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,10/27/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-007-01,146.66 Kb
"LER 12-003-01 for Fort Calhoun Station, Regarding Non-Conservative Error in Calculation for Alternate Hot Leg Injection Results in Unanalyzed Condition.",ML12324A248,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,11/16/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-003-01,149.67 Kb
LER 12-008-01 for Fort Calhoun Station re Technical Specification Violation for Fuel Movement (VA-66).,ML12335A054,"NRC/Document Control Desk,NRC/NRR",,Cortopassi L P,Omaha Public Power District,11/29/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-008-01,152.66 Kb
LER 12-006-00 for Fort Calhoun Station Withdrawal.,ML12342A321,"NRC/Document Control Desk,NRC/NRR",,Cortopassi L P,Omaha Public Power District,12/07/2012,05000285,"Letter,Licensee Event Report (LER)",LER-12-006-00,51.29 Kb
"LER 12-012-01 for Fort Calhoun Station, Regarding Multiple Safety Injection Tanks Rendered Inoperable.",ML12353A618,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,12/18/2012,05000285,"Letter,Licensee Event Report (LER)",LER 12-012-01,235.32 Kb
LER 12-014-01 for Fort Calhoun Station Regarding Containment Beam 22 Loading Conditions Outside of the Allowable Limits.,ML13022A479,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,01/18/2013,05000285,Licensee Event Report (LER),LER 12-014-01,133.2 Kb
"LER 12-017-01 for Fort Calhoun Station, Regarding Containment Valve Actuators Design Temperature Ratings Below those Required for Design Basis Accidents.",ML13032A308,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,01/31/2013,05000285,"Letter,Licensee Event Report (LER)",LER 12-017-01,68.24 Kb
"LER 12-020-00 for the Fort Calhoun Station, ""Raw Water Pump Anchors"".",ML13032A310,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,01/31/2013,05000285,"Letter,Licensee Event Report (LER)",LER 12-020-00,138.78 Kb
"LER 12-021-00 for Fort Calhoun Station Regarding HCV-2987, HPSI Alternate Header Isolation Valve.",ML13051A455,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,02/19/2013,05000285,"Letter,Licensee Event Report (LER)",LER 12-021-00,133.08 Kb
LER 13-001-00 for Fort Calhoun Regarding Mounting of GE HFA Relays does not Meet Seismic Requirements.,ML13078A055,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,03/19/2013,05000285,"Letter,Licensee Event Report (LER)",LER 13-001-00,377.1 Kb
LER 13-001-00 for Fort Calhoun Station Regarding Mounting of GE HFA Relays does not Meet Seismic Requirements.,ML13079A091,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,03/19/2013,05000285,"Letter,Licensee Event Report (LER)",LER 13-001-00,378.19 Kb
LER 13-002-00 for Fort Calhoun Station Regarding CVCS Class 1 & 2 Charging Supports are Unanalyzed.,ML13086A037,"NRC/Document Control Desk,NRC/NRR",,Cortopassi L P,Omaha Public Power District,03/26/2013,05000285,"Letter,Licensee Event Report (LER)",LER 13-002-00,378.02 Kb
LER 13-003-00 for Fort Calhoun Station Regarding Calculations Indicate the HPSI Pumps will Operate in Run-out During a DBA.,ML13091A221,"NRC/Document Control Desk,NRC/NRR",,Cortopassi L P,Omaha Public Power District,04/01/2013,05000285,"Letter,Licensee Event Report (LER)",LER 13-003-00,455.22 Kb
LER 13-004-00 for Fort Calhoun Station Regarding Inverters Inoperable During Emergency Diesel Generator Operation.,ML13114A164,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,04/23/2013,05000285,"Letter,Licensee Event Report (LER)",LER 13-004-00,142.65 Kb
LER 13-005-00 for Fort Calhoun Station Regarding Control Room HVAC Modification Not Properly Evaluated.,ML13120A059,"NRC/Document Control Desk,NRC/NRR",,Cortopassi L P,Omaha Public Power District,04/29/2013,05000285,"Letter,Licensee Event Report (LER)",LER 13-005-00,494.13 Kb
"LER 13-006-00 for Fort Calhoun Station, ""Use of Teflon in LPSI and CS Pump Mechanical Seals"".",ML13126A121,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,05/03/2013,05000285,"Letter,Licensee Event Report (LER)",LER 13-006-00,130.83 Kb
LER 12-018-01 for Fort Calhoun Station Regarding Containment Air Cooling Units Not Properly Tested During Cycle 26.,ML13129A258,"NRC/NRR,NRC/Document Control Desk",,Cortopassi L P,Omaha Public Power District,05/08/2013,05000285,"Letter,Licensee Event Report (LER)",LER 12-018-01,362.01 Kb
LER 12-019-01 for Fort Calhoun Station Regarding Traveling Screen Sluice Gates Found with Dual Indication.,ML13134A393,"NRC/Document Control Desk,NRC/NRR",,Cortopassi L P,Omaha Public Power District,05/14/2013,05000285,"Letter,Licensee Event Report (LER)",LER 12-019-01,228.91 Kb
