Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Date Added,Document Date,Docket Number,Document Type,Size
LER 09-003-00 for Cooper Regarding Isolation of Residual Heat Removal Shutdown Cooling.,ML100070099,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),01/15/2010 09:19 AM EST,01/04/2010,05000298,"Letter,Licensee Event Report (LER)",307.48 Kb
"LER 09-004-00 for Cooper Nuclear Station, regarding Manual Reactor Scram for Digital Electro-Hydraulic Fluid Leak.",ML100130214,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),01/26/2010 03:48 PM EST,01/08/2010,05000298,"Letter,Licensee Event Report (LER)",338.23 Kb
LER 09-005-00 for Cooper Regarding High Pressure Coolant Injection Governor Valve Failure.,ML100490174,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),02/26/2010 08:04 AM EST,02/11/2010,05000298,"Letter,Licensee Event Report (LER)",327.07 Kb
LER 10-001-00 for Cooper Regarding Technical Specification Prohibited Condition Due to Safety Relief Valve Test Failures.,ML100700590,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),03/19/2010 07:19 AM EDT,03/05/2010,05000298,"Letter,Licensee Event Report (LER)",360.06 Kb
LER 09-005-01 for Cooper Regarding High Pressure Coolant Injection Governor Valve Failure.,ML102150420,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),08/11/2010 08:27 AM EDT,07/27/2010,05000298,"Letter,Licensee Event Report (LER)",386.05 Kb
LER 10-003-00 for Cooper Regarding Low Voltage on Emergency Transformer Causes Loss of Safety Function.,ML103010030,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),11/05/2010 08:19 AM EDT,10/21/2010,05000298,"Letter,Licensee Event Report (LER)",323.32 Kb
LER 10-004-00 for Cooper Nuclear Regarding Loss of Safety Function for Emergency Diesel Generators.,ML103270041,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),12/02/2010 09:16 AM EST,11/18/2010,05000298,"Letter,Licensee Event Report (LER)",309.88 Kb
LER 10-005-00 for Cooper Nuclear Station re Steam Exclusion Barrier Door Blocked Open Results in Loss of Safety Function.,ML110620046,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),03/11/2011 08:51 AM EST,02/28/2011,05000298,Licensee Event Report (LER),274.96 Kb
LER 11-001-00 for Cooper Nuclear Station Regarding Both Loops of Residual Heat Removal Inoperable Results in Loss of Safety Function.,ML110770055,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),03/28/2011 08:34 AM EDT,03/14/2011,05000298,"Letter,Licensee Event Report (LER)",311.04 Kb
LER 10-005-01 for Cooper Nuclear Station Regarding Steam Exclusion Barrier Door Blocked Open Results in Loss of Safety Function.,ML11124A010,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),05/12/2011 08:16 AM EDT,04/28/2011,05000298,"Letter,Licensee Event Report (LER)",418.79 Kb
LER 11-002-00 for Cooper Regarding Technical Specification Prohibited Condition Due to Past Operability of Service Water Booster Pump.,ML11168A052,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),06/27/2011 08:51 AM EDT,06/15/2011,05000298,"Letter,Licensee Event Report (LER)",215.46 Kb
LER 11-002-001 for Cooper Regarding Technical Specification Prohibited Condition for Service Water Booster Pump.,ML11213A026,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),08/09/2011 08:49 AM EDT,07/26/2011,05000298,"Letter,Licensee Event Report (LER)",266.89 Kb
"LER 11-003-00, for Cooper, Regarding Potential Loss of Safety Function of Service Water Strainers.",ML11223A013,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),08/19/2011 09:08 AM EDT,08/08/2011,05000298,"Letter,Licensee Event Report (LER)",237.32 Kb
"LER 11-004-00, for Cooper Nuclear Station, Regarding Technical Specification Prohibited Condition for Non-Compliance with LCO 3.0.4.",ML11224A035,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),08/17/2011 09:11 AM EDT,08/09/2011,05000298,"Letter,Licensee Event Report (LER)",257.44 Kb
LER 11-005-00 for Cooper Nuclear Station Regarding Technical Specification Prohibited Condition Due to Value Test Failure.,ML11236A106,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),09/01/2011 09:10 AM EDT,08/19/2011,05000298,"Letter,Licensee Event Report (LER)",353.26 Kb
LER 11-003-01 for Cooper Regarding Loss of Safety Function and Past Inoperability of Service Water Strainers.,ML11291A181,"NRC/Document Control Desk,NRC/NRR",,Willis D L,Nebraska Public Power District (NPPD),10/26/2011 09:07 AM EDT,10/12/2011,05000298,"Letter,Licensee Event Report (LER)",386.77 Kb
