Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report,Size
"LER 14-004-00 for Waterford, Unit 3, Regarding Emergency Diesel Generators Rendered Inoperable By Potential Water Intrusion Into Diesel Fuel Oil Feed Tanks.",ML14352A449,"NRC/Document Control Desk,NRC/NRR",,Jarrell J P,"Entergy Operations, Inc",12/18/2014,05000382,"Letter,Licensee Event Report (LER)",LER 14-004-00,795.04 Kb
LER 14-001-00 for Waterford 3 Regarding Room Cooler Breaker Inoperability Causes Past Inoperability of Containment Spray System Train.,ML14045A138,"NRC/Document Control Desk,NRC/NRR",,Jarrell J P,"Entergy Operations, Inc",02/14/2014,05000382,"Letter,Licensee Event Report (LER)",,596.5 Kb
"LER 10-003-00 for Waterford, Unit 3, Regarding Worn Fuel Oil Line on A Train Emergency Diesel Generator Caused by Inadequate Mounting Clamp.",ML101440193,"NRC/Document Control Desk,NRC/NRR",,Steelman W J,"Entergy Nuclear South,Entergy Operations, Inc",05/20/2010,05000382,Licensee Event Report (LER),LER 10-003-00,538.6 Kb
"LER 09-006-00, for Waterford 3, Regarding Degraded Hydraulic Fluid Causes Both Main Feedwater Isolation Valves to Fail Inservice Test Stroke.",ML100570418,"NRC/Document Control Desk,NRC/NRR",,Murillo R J,Entergy Nuclear South,02/25/2010,05000382,Licensee Event Report (LER),LER 09-006-00,493.49 Kb
"LER 13-005-01 for Waterford Steam Electric Station, Unit 3, Regarding Emergency Diesel Generator Inoperable Due to Room Exhaust Fan Failure.",ML13316A252,"NRC/Document Control Desk,NRC/NRR",,Jarrell J P,"Entergy Operations, Inc",11/07/2013,05000382,"Letter,Licensee Event Report (LER)",LER 13-005-01,492.4 Kb
"LER 12-002-00 for Waterford 3, Regarding Failed Valve Actuator Diaphragm Causes Inoperability Greater Than Allowed by TS LCO Action.",ML12109A086,"NRC/Document Control Desk,NRC/NRR",,Jacobs D,"Entergy Nuclear South,Entergy Operations, Inc",04/13/2012,05000382,"Letter,Licensee Event Report (LER)",LER 12-002-00,460.82 Kb
"LER 10-002-00, for Waterford 3, Regarding Main Feedwater Isolation Valve B Exceeded Allowed Outage Time Due to Tubing Connection Failure.",ML101160039,"NRC/Document Control Desk,NRC/NRR",,Murillo R J,"Entergy Nuclear South,Entergy Operations, Inc",04/22/2010,05000382,"Letter,Licensee Event Report (LER)",LER 10-002-00,419.46 Kb
"LER 10-001-00, for Waterford 3 Steam Electric Station, Regarding Spent Fuel Pool Cooling Single Failure.",ML100560031,"NRC/Document Control Desk,NRC/NRR",,Murillo R J,Entergy Nuclear South,02/23/2010,05000382,"Letter,Licensee Event Report (LER)",LER 10-001-00,412.98 Kb
LER 09-003-01 for Waterford 3 Regarding Multiple Tyco Relay Failures.,ML101230323,"NRC/Document Control Desk,NRC/NRR",,Steelman W J,"Entergy Nuclear South,Entergy Operations, Inc",04/29/2010,05000382,"Letter,Licensee Event Report (LER)",LER 09-003-01,397.16 Kb
"LER 09-005-01, Waterford 3 Steam Electric Station, re: Spurious Moisture Separator Reheater Relief Valve Opening Resulting in a Manual Reactor Trip and an Engineering Safety Feature Actuation (Emergency Feedwater Actuation).",ML101370227,"NRC/Document Control Desk,NRC/NRR",,Steelman W J,"Entergy Nuclear South,Entergy Operations, Inc",05/13/2010,05000382,"Letter,Licensee Event Report (LER)",LER 09-005-01,350.52 Kb
"LER 11-005-00 for Waterford Steam Electric Station, Unit 3 Regarding a Malfunction of the Essential Chilled Water Loop B.",ML11356A079,"NRC/Document Control Desk,NRC/NRR",,Steelman W J,Entergy Nuclear South,12/19/2011,05000382,"Letter,Licensee Event Report (LER)",LER 11-005-00,318.14 Kb
"LER 11-004-00 for Waterford, Unit 3, Regarding Vendor Notification of Non-Conforming Part Renders Both Trains of QSPDS Inoperable.",ML11272A035,"NRC/Document Control Desk,NRC/NRR",,Steelman W J,Entergy Nuclear South,09/26/2011,05000382,"Letter,Licensee Event Report (LER)",LER 11-004-00,299.11 Kb
LER 14-003-00 for Waterford 3 Regarding Unexpected Loss of Wet Cooling Tower Fan Results in Both Trains of Ultimate Heat Sink Inoperable.,ML14290A607,"NRC/Document Control Desk,NRC/NRR",,Jarrell J P,"Entergy Operations, Inc",10/17/2014,05000382,"Letter,Licensee Event Report (LER)",LER 14-003-00,287.38 Kb
"LER 13-004-00 for Waterford, Unit 3, Regarding Tech Spec Violation During Operation in Lower Mode with Reduced Channels of Excore Nuclear Instrumentation.",ML13248A109,"NRC/Document Control Desk,NRC/NRR",,Pellegrin B J,"Entergy Operations, Inc",09/03/2013,05000382,"Letter,Licensee Event Report (LER)",LER 13-004-00,282.92 Kb
LER 14-002-00 for Waterford 3 Steam Electric Station Regarding Inadequate Tightening of Starting Air Filter Housing Results in Inoperable Train a Emergency Diesel Generator.,ML14120A027,"NRC/Document Control Desk,NRC/NRR",,Jarrell J P,"Entergy Operations, Inc",04/29/2014,05000382,"Letter,Licensee Event Report (LER)",LER 14-002-00,267.29 Kb
LER 11-001-00 for Waterford 3 Regarding Waste Gas System Oxygen Exceeded Technical Specification Allowed Duration.,ML11109A116,"NRC/Document Control Desk,NRC/NRR",,Steelman W J,Entergy Nuclear South,04/16/2011,05000382,Licensee Event Report (LER),LER 11-001-00,265.46 Kb
"LER 12-003-00 for Waterford, Unit 3, Regarding Cracked Instrument Line Affects Fire protection Safe Shutdown Analysis.",ML12157A324,"NRC/Document Control Desk,NRC/NRR",,Jacobs D,Entergy Nuclear South,06/04/2012,05000382,"Letter,Licensee Event Report (LER)",LER 12-003-00,262.32 Kb
"LER 2013-007-00 for Waterford Steam Electric Station, Unit 3 Regarding Technical Specification 3.9.7 Violation, Load Over Irradiated Fuel During Dry Fuel Storage Activities.",ML13353A136,"NRC/Document Control Desk,NRC/NRR",,Jarrell J P,"Entergy Operations, Inc",12/17/2013,05000382,"Letter,Licensee Event Report (LER)",LER 2013-007-00,244.79 Kb
LER 12-001-00 for Waterford 3 Steam Electric Station Regarding Technical Specification for Containment Fan Cooler Minimum Cooling Flow Not Met.,ML12066A053,NRC/Document Control Desk,,Jacobs D,Entergy Nuclear South,03/05/2012,05000382,"Letter,Licensee Event Report (LER)",LER 12-001-00,196.2 Kb
