Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report,Size
Washington 2000002 Radiological Protection,ML003677260,Washington Public Power Supply System,Parrish J V,Good G M,NRC/RGN-IV/DRS/PSB,01/24/2000,05000397,Inspection Report Correspondence,2000002,90.41 Kb
Washington 2000003 Radiological Protection,ML003677350,Washington Public Power Supply System,Parrish J V,Good G M,NRC/RGN-IV/DRS/PSB,01/25/2000,05000397,Inspection Report Correspondence,2000003,46.24 Kb
"IR-99-014, WNP-2",ML003679618,Energy Northwest,Parrish J V,Smith L J,NRC/RGN-IV/DRP/RPB-E,01/28/2000,05000397,Inspection Report Correspondence,IR-99-014,39.66 Kb
"IR-99-013, WNP-2 -  Resident, Acknowledgment letter",ML003684996,Energy Northwest,Parrish J V,Smith L J,NRC/RGN-IV/DRP/RPB-E,02/18/2000,05000397,Inspection Report Correspondence,IR-99-013,16.63 Kb
IR-00-001- WNP-2 corrective action inspection,ML003689515,,,Pellet J L,NRC/RGN-IV/DRS/OB,03/06/2000,05000397,"Inspection Report,Letter",IR-00-001,93.03 Kb
WNP IR-00-004 Resident,ML003693404,Energy Northwest,Parrish J V,Smith L J,NRC/RGN-IV/DRP,03/17/2000,05000397,Inspection Report,IR-00-004,73.85 Kb
Insp Rpt - Washington IR-00-05 Emergency Preparedness,ML003698499,Washington Public Power Supply System,Parrish J V,Good G M,NRC/RGN-IV/DRS/PSB,03/31/2000,05000397,Inspection Report,IR-00-005,73.35 Kb
Insp Rpt - Washington IR-00-08 Radiological,ML003702969,Energy Northwest,Parrish J V,Good G M,NRC/RGN-IV/DRS/PSB,04/14/2000,05000397,Inspection Report,,65.57 Kb
"IR-WNP-2, 00-06, SSEI Inspection",ML003707978,,,Powers D A,NRC/RGN-IV/DRS/EMB,04/26/2000,05000397,"Inspection Report,Letter",,166.3 Kb
Insp. Rpt. - WNP-2 IR-00-009 Resident,ML003708507,Energy Northwest,Parrish J V,Smith L J,NRC/RGN-IV/DRP/RPB-E,04/27/2000,05000397,Inspection Report,IR-00-009,55.33 Kb
IR - WNP-2 50-397/00-07 - Triennial fire Protection Baseline Inspection,ML003724101,,,Powers D A,NRC/RGN-IV/DRS/EMB,06/16/2000,05000397,"Inspection Report,Letter",IR-00-007,114.17 Kb
Insp Rpt WNP-2 IR-00-010 Resident,ML003726815,Energy Northwest,Parrish J V,Smith L J,NRC/RGN-IV/DRP/RPB-E,06/27/2000,05000397,Inspection Report Correspondence,IR-00-010,111.69 Kb
