Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report,Size
"Contamination Event Report No. 92-001, Storm Drain Pond 1984-1992 Columbia Generating Station.",ML102370378,NRC/OIS,,,- No Known Affiliation,11/14/2007,05000397,Licensee Event Report (LER),DIC 2601.1,15.56 Mb
"LER 13-003-00 for Columbia Generating Station, ""Operation Prohibited by Technical Specifications due to Valve Leakage"".",ML13231A111,"NRC/Document Control Desk,NRC/NRR",,Hettel W G,Energy Northwest,08/01/2013,05000397,"Letter,Licensee Event Report (LER)",LER 13-003-00,2.91 Mb
LER 14-003-00 for Columbia Generating Station Regarding Degraded Tornado Missile Barrier.,ML14142A010,"NRC/Document Control Desk,NRC/NRR",,Javorik A L,Energy Northwest,05/12/2014,05000397,"Letter,Licensee Event Report (LER)",LER 14-003-00,2.73 Mb
LER 13-004-00 for Columbia Generating Station Regarding Jumper Makes Suppression Pool Spray Valve Remote Transfer Switch Inoperable.,ML13231A112,"NRC/Document Control Desk,NRC/NRR",,Hettel W G,Energy Northwest,08/01/2013,05000397,"Letter,Licensee Event Report (LER)",LER 13-004-00,2.63 Mb
"LER 13-006-00 for Columbia Generating Station, Regarding Accidental Switch Bump Makes Hig Pressure Core Spray and Diesel Inoperable.",ML13254A005,"NRC/Document Control Desk,NRC/NRR",,Hettel W G,Energy Northwest,08/20/2013,05000397,"Letter,Licensee Event Report (LER)",LER 13-006-00,2.47 Mb
LER 03-003-00 and 03-005-00 for Columbia regarding interruption of flow in the Residual Heat Removal system while in the shutdown cooling mode of operation.,ML041560313,"NRC/Document Control Desk,NRC/NRR",,Atkinson D K,Energy Northwest,05/26/2004,05000397,"Letter,Licensee Event Report (LER)","LER 03-003-00,LER 03-005-00",736.42 Kb
Failure To Reset An Isolation Signal Caused An ESF Signal To Be Generated That Resulted In The Closure Of All Eight MSIVs While The Plant Was Shutdown.,ML003738455,"NRC/Document Control Desk,NRC/NRR",,Smith G O,Energy Northwest,08/01/2000,05000397,"Letter,Licensee Event Report (LER)","LER-2000-004-00,LER-2000-005-00",571.55 Kb
LER 14-001-00 for Columbia Regarding Secondary Containment Pressure Exceeded.,ML14087A008,"NRC/Document Control Desk,NRC/NRR",,Javorik A L,Energy Northwest,03/10/2014,05000397,"Letter,Licensee Event Report (LER)",LER 14-001-00,525.6 Kb
"LER 00-006-01, Washington Nuclear Plant Unit 2, Plant Outside Design Basis for Control Room Emergency Filtration System Unfiltered In-leakage Based Upon Tracer Gas Testing.",ML003776343,"NRC/Document Control Desk,NRC/NRR",,Webring R L,Energy Northwest,12/06/2000,05000397,Licensee Event Report (LER),LER 00-006-01,516.89 Kb
"Washington Nuclear Plant Unit 2, LER 00-006-00 pursuant to10CFR 50.73 and discusses the items of reportability, corrective action taken, and action to preclude recurrence, Licensee Event Report",ML003762355,"NRC/Document Control Desk,NRC/NRR",,Atkinson D K,Energy Northwest,10/12/2000,05000397,Licensee Event Report (LER),LER 00-006-00,494.41 Kb
"LER 04-005-00 for Columbia Generating Station regarding Reactor Manual Scram During Plant Startup due to High Water Level in the Pumped Drain Tank, and LER 04-006-00 regarding Reactor Manual Scram During Reactor Startup Due to Improper Restoration of ...",ML042990393,"NRC/Document Control Desk,NRC/NRR",,Webring R L,Energy Northwest,10/13/2004,05000397,"Letter,Licensee Event Report (LER)",LER 04-005-00,492.01 Kb
"LER 03-001-00, for Columbia re: Residual Heat Removal (RHR) B Train Potentially Inoperable During a Design Basis Event Due to Apparent Inability of System to Adequately Maintain Pressure as Assumed in Appendix R Analysis.",ML031611000,"NRC/Document Control Desk,NRC/NRR",,Webring R L,Energy Northwest,06/02/2003,05000397,Licensee Event Report (LER),LER 03-001-00,485.26 Kb
"LER-02-003-00, Columbia Water Leakage Paths Through Fire Rated Floor Assemblies on May 3, 2002.",ML022270273,"NRC/Document Control Desk,NRC/NRR",,Webring R L,Energy Northwest,08/07/2002,05000397,"Letter,Licensee Event Report (LER)",LER-02-003-00,475.75 Kb
"LER 08-001-00, Columbia Generating Station, Regarding Reactor Scram Due to Failed Compression Fitting.",ML083030046,"NRC/Document Control Desk,NRC/NRR",,Gambhir S K,Energy Northwest,10/20/2008,05000397,"Letter,Licensee Event Report (LER)",LER 08-001-00,443.94 Kb
LER 04-004-00 Columbia Generating Station Regarding items of reportability and corrective actions taken.,ML042880494,"NRC/Document Control Desk,NRC/NRR",,Webring R L,Energy Northwest,10/04/2004,05000397,"Letter,Licensee Event Report (LER)",LER 04-004-00,441.84 Kb
