Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report,Size
"LER 10-002-00, for Grand Gulf, Re: Control Room Air Conditioning Subsystem 'B' Tripped on Low Oil Pressure While in the 'A' Subsystem was Inoperable for Maintenance Resulting in a Condition that Could Have Prevented the Fulfillment of the Mitigation....",ML103480006,"NRC/NRR,NRC/Document Control Desk",,Perino C L,"Entergy Operations, Inc",12/13/2010,05000416,"Letter,Licensee Event Report (LER)",LER 10-002-00,1.5 Mb
"LER 13-003-00 for Grand Gulf Nuclear Station, Unit 1 Regarding Reactor Protection System and Reactor Core Isolation Cooling Actuation Due to a High Reactor Pressure Transient.",ML13273A354,"NRC/Document Control Desk,NRC/NRR",,Richey M L,"Entergy Operations, Inc",09/26/2013,05000416,"Letter,Licensee Event Report (LER)",LER 13-003-00,1.17 Mb
"LER 13-004-00 for Grand Gulf, Unit 1, Regarding Operation Prohibited by Technical Specifications due to Inadvertent Bypass of Reactor Steam Dome High Pressure Interlock for Residual Heat Removal System Isolation.",ML13276A480,"NRC/Document Control Desk,NRC/NRR",,Richey M L,"Entergy Operations, Inc",10/03/2013,05000416,"Letter,Licensee Event Report (LER)",LER 13-004-00,1.08 Mb
"LER 11-001-00 for Grand Gulf, Unit 1 re High Pressure Core Spray (HPCS) Failure Due To Failed Test Equipment.",ML111320547,"NRC/Document Control Desk,NRC/NRR",,Perino C L,"Entergy Operations, Inc",05/12/2011,05000416,"Letter,Licensee Event Report (LER)",LER 11-001-00,927.5 Kb
"LER 12-004-00 for Grand Gulf, Unit 1 Regarding Weld Defect Indication Found in Residual Heat Removal System to Reactor Pressure Vessel Boundary Nozzle.",ML12180A074,"NRC/NRR,NRC/Document Control Desk",,Perino C L,"Entergy Operations, Inc",06/27/2012,05000416,"Letter,Licensee Event Report (LER)",LER 12-004-00,901.56 Kb
"LER 14-002-00 for Grand Gulf Nuclear Station, Unit 1 Regarding Manual Actuation of the Reactor Protection System Due to Steam Leak with Reactor Core Isolation Cooling Manual Initiation.",ML14135A213,"NRC/Document Control Desk,NRC/NRR",,Nadeau J J,"Entergy Operations, Inc",05/15/2014,05000416,"Letter,Licensee Event Report (LER)",LER 14-002-00,548.07 Kb
"LER 12-008-00 for Grand Gulf, Unit 1 Regarding Reactor Protection System Actuation due to a Main Turbine Generator Trip.",ML13059A322,"NRC/Document Control Desk,NRC/NRR",,Perino C L,"Entergy Operations, Inc",02/27/2013,05000416,"Letter,Licensee Event Report (LER)",LER 12-008-00,512.38 Kb
"LER 12-001-00 for Grand Gulf, Unit 1, Regarding Surveillance Test Procedure Inadequate to Meet the Requirements of Technical Specifications.",ML12074A084,"NRC/Document Control Desk,NRC/NRR",,Richey M L,"Entergy Operations, Inc",03/13/2012,05000416,"Letter,Licensee Event Report (LER)",LER 12-001-00,471.63 Kb
"LER 13-006-00 for Grand Gulf, Unit 1, Regarding Primary Containment Inoperable Due to an Inadequate Surveillance Procedure Resulting in a Loss of Safety Function.",ML14044A036,"NRC/Document Control Desk,NRC/NRR",,Coutu T,"Entergy Operations, Inc",02/13/2014,05000416,"Letter,Licensee Event Report (LER)",LER 13-006-00,457.97 Kb
"LER 10-001-00 for Grand Gulf, Unit 1 Regarding Automatic Reactor Scram on Decreasing Reactor Water Level Due to Inadvertent Reactor Feed Pump Trip.",ML101250552,"NRC/Document Control Desk,NRC/NRR",,Perino C L,"Entergy Operations, Inc",05/05/2010,05000416,Licensee Event Report (LER),LER 10-001-00,447.79 Kb
