Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report,Size
"LER 11-003-00 for River Bend Station, Unit 1, Regarding Automatic Reactor Scram Due to a Main Turbine Trip.",ML12059A096,"NRC/Document Control Desk,NRC/NRR",,Olson E W,"Entergy Operations, Inc",02/21/2012,05000458,"Letter,Licensee Event Report (LER)",LER 11-003-00,362.62 Kb
"LER 10-002-00, River Bend Station - Unit 1, re: Standby Gas Treatment Filter Inoperable Due to Inadequate Surveillance Test Acceptance Criteria.",ML101880271,"NRC/Document Control Desk,NRC/NRR",,Lorfing D N,"Entergy Operations, Inc",07/01/2010,05000458,"Letter,Licensee Event Report (LER)",LER 10-002-00,315.88 Kb
"LER 10-001-00 for River Bend Station, Unit 1 Regarding Control Building Chiller Inoperable Greater Than Allowable Outage Time.",ML101730473,"NRC/Document Control Desk,NRC/NRR",,Lorfing D N,"Entergy Operations, Inc",06/16/2010,05000458,"Letter,Licensee Event Report (LER)",LER 10-001-00,314.99 Kb
LER 14-005-00 for River Bend Station Regarding Loss of High Pressure Core Spray / Suppression Pool Safety Functions and Operations Prohibited by Technical Specifications due to  Leakage Through Pump Test Return Line.,ML14294A737,"NRC/Document Control Desk,NRC/NRR",,Olson E W,"Entergy Operations, Inc",09/26/2014,05000458,"Letter,Licensee Event Report (LER)",LER 14-005-00,314.53 Kb
"LER 14-002-00 for River Bend Station, Unit 1, Regarding Reactor Scram Due to Average Power Range Monitor High-flux Signal Following a Malfunction of the Main Turbine Electro hydraulic System.",ML15006A029,"NRC/Document Control Desk,NRC/NRR",,Olson E W,"Entergy Operations, Inc",12/16/2014,05000458,"Letter,Licensee Event Report (LER)",LER 14-002-00,312.84 Kb
"LER 10-004-01, for River Bend Station, regarding High Pressure Core Spray Inoperable Due to Failed Motor Oil Reservoir Drain Plug.",ML110670161,"NRC/Document Control Desk,NRC/NRR",,Lorfing D N,"Entergy Operations, Inc",03/02/2011,05000458,"Letter,Licensee Event Report (LER)",LER 10-004-01,286.66 Kb
"LER 14-006-00 for River Bend Station - Unit 1, Regarding Automatic Reactor Scram and Primary Containment Isolation Due to Loss of Power on the Division 2 Reactor Protection System With a Concurrent Division 1 Half-scram.",ML15055A575,"NRC/Document Control Desk,NRC/NRR",,Olson E W,"Entergy Operations, Inc",02/19/2015,05000458,"Letter,Licensee Event Report (LER)",LER 14-006-00,285.08 Kb
"LER 12-001-01 for River Bend Station, Unit 1, Regarding Operations Prohibited by Technical Specifications Due to Inoperability of Division 3 Diesel Generator.",ML12340A069,"NRC/Document Control Desk,NRC/NRR",,Olson E W,"Entergy Operations, Inc",11/14/2012,05000458,"Letter,Licensee Event Report (LER)",LER 12-001-01,263.55 Kb
"LER 12-002-00 for River Bend Station Unit 1, ""Automatic Reactor Scram Due to Low Main Condenser Vacuum Resulting From Electrical Fault"".",ML12209A098,"NRC/Document Control Desk,NRC/NRR",,Olson E W,"Entergy Operations, Inc",07/20/2012,05000458,"Letter,Licensee Event Report (LER)",LER 12-002-00,260.95 Kb
"LER 10-003-00 for River Bend Station, Unit 1 Regarding High Pressure Core Spray System Declared Inoperable Due to Failure of Pump Room Cooler.",ML102370770,"NRC/Document Control Desk,NRC/NRR",,Lorfing D N,"Entergy Operations, Inc",08/19/2010,05000458,Licensee Event Report (LER),LER 10-003-00,253.92 Kb
"LER 12-003-00 for River Bend Station Unit 1, ""Reactor Scram Following a Loss of Main Reactor Feedwater Pump Due to Electrical Fault"".",ML12209A097,"NRC/Document Control Desk,NRC/NRR",,Olson E W,"Entergy Operations, Inc",07/23/2012,05000458,"Letter,Licensee Event Report (LER)",LER 12-003-00,249.14 Kb
"LER 13-002-00 for River Bend Station, Unit 1, Regarding Potential Loss of Safety Function of Secondary Containment Due to Employee Leaving a Door Unsecured.",ML13317B627,"NRC/Document Control Desk,NRC/NRR",,Olson E W,"Entergy Operations, Inc",11/06/2013,05000458,"Letter,Licensee Event Report (LER)",LER 13-002-00,245.42 Kb
LER 14-004-00 for River Bend Station - Unit 1 Regarding Unanalyzed Condition of the Ultimate Heat Sink That Degraded Its Ability to Perform Its Design Safety Function Due to Water Inventory Less Than Requirement of Accident Analysis.,ML14294A738,"NRC/Document Control Desk,NRC/NRR",,Olson E W,"Entergy Operations, Inc",09/26/2014,05000458,"Letter,Licensee Event Report (LER)",LER 14-004-00,241.67 Kb
"LER 12-004-00 for River Bend, Unit 1, Regarding Operations Prohibited by Technical Specifications Due to Wiring Error in Safety-Related Circuit Breaker.",ML12348A005,"NRC/Document Control Desk,NRC/NRR",,Roberts J C,"Entergy Operations, Inc",11/29/2012,05000458,"Letter,Licensee Event Report (LER)",LER 12-004-00,238.28 Kb
"LER 13-001-00 for River Bend Station, Unit 1 Regarding Operations Prohibited by Technical Specifications for Operations With a Potential to Drain the Reactor Vessel.",ML13116A009,"NRC/Document Control Desk,NRC/NRR",,Olson E W,"Entergy Operations, Inc",04/18/2013,05000458,"Licensee Event Report (LER),Letter",,226.13 Kb
LER 11-002-00 for River Bend Station Unit 1 re Operations Prohibited by Technical Specifications Due to Instrument Isolation Valve Mispositioning.,ML11109A004,"NRC/Document Control Desk,NRC/NRR",,Lorfing D N,"Entergy Operations, Inc",04/14/2011,05000458,"Licensee Event Report (LER),Letter",,221.6 Kb
"LER 12-001-00 for River Bend Station, Unit 1, Regarding Operations Prohibited by Technical Specifications Due to Inoperability of Division 3 Diesel Generator.",ML12198A002,"NRC/Document Control Desk,NRC/NRR",,Olson E W,"Entergy Operations, Inc",07/09/2012,05000458,"Letter,Licensee Event Report (LER)",LER 12-001-00,219.83 Kb
"LER 10-004-00, for River Bend Station - Unit 1 re: High Pressure Core Spray System Inoperable Due to Failed Motor Oil Reservoir Drain Plug.",ML110110218,"NRC/Document Control Desk,NRC/NRR",,Lorfing D N,"Entergy Operations, Inc",01/05/2011,05000458,"Letter,Licensee Event Report (LER)",LER 10-004-00,217.02 Kb
"LER 14-003-00 for River Bend, Unit 1, Regarding Operations Prohibited by Technical Specifications Due to Concurrent Inoperability of Reactor Protection System Channels.",ML14241A381,"NRC/Document Control Desk,NRC/NRR",,Olson E W,"Entergy Operations, Inc",08/11/2014,05000458,"Letter,Licensee Event Report (LER)",LER 14-003-00,216.92 Kb
