Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report,Size
"LER 11-003-00, for Wolf Creek, Regarding Diesel Generator Declared Inoperable Due to Inadequate Reinstallation of Pipe Connection Resulting in Excessive Governor Oil Coolant Leak.",ML11139A154,"NRC/Document Control Desk,NRC/NRR",,Smith R A,Wolf Creek Nuclear Operating Corp,05/12/2011,05000482,"Letter,Licensee Event Report (LER)",LER 11-003-00,1.35 Mb
"LER 11-002-00, for Wolf Creek Generating Station, Regarding Diesel Generator Declared Inoperable Due to Inadequate Installation of a Fuel-Rack Control Pin.",ML11123A167,"NRC/Document Control Desk,NRC/NRR",,Smith R A,Wolf Creek Nuclear Operating Corp,04/25/2011,05000482,"Letter,Licensee Event Report (LER)",LER 11-002-00,943.63 Kb
"LER 12-001-01 for Wolf Creek, Regarding Failure of 345 kV Switchyard Breaker Due to Internal Fault Resulting in Reactor Trip and coincident Loss of Offsite Power.",ML12109A049,"NRC/Document Control Desk,NRC/NRR",,Hedges S E,Wolf Creek Nuclear Operating Corp,04/09/2012,05000482,"Letter,Licensee Event Report (LER)",LER 12-001-01,770.26 Kb
"LER 12-001-00, for Wolf Creek Regarding Failure of 345 kV Switchyard Breaker Due to Internal Fault Resulting in Reactor Trip and Coincident Loss of Offsite Power.",ML12080A215,"NRC/Document Control Desk,NRC/NRR",,Hedges S E,Wolf Creek Nuclear Operating Corp,03/12/2012,05000482,"Letter,Licensee Event Report (LER)",LER 12-001-00,752.45 Kb
LER 08-002-01 for Wolf Creek Regarding Technical Specification Allowed Outage Time Exceeded Due to Room Cooler Leak.,ML100200265,"NRC/Document Control Desk,NRC/NRR",,Sunseri M W,Wolf Creek Nuclear Operating Corp,01/11/2010,05000482,"Letter,Licensee Event Report (LER)",LER 08-002-01,689.95 Kb
"LER 13-006-00 for Wolf Creek Generating Station, Regarding Technical Specification Required Shutdown Due to a Nonfunctional Class 1 E Electrical Equipment Air Conditioning Unit.",ML13210A247,"NRC/Document Control Desk,NRC/NRR",,Camp A J,Wolf Creek Nuclear Operating Corp,07/08/2013,05000482,"Letter,Licensee Event Report (LER)",LER 13-006-00,607.64 Kb
"LER 10-001-00, for Wolf Creek, Regarding Automatic Start of Motor Driven Auxiliary Feedwater Pumps Inoperable During Startup in Mode 1.",ML100890419,"NRC/Document Control Desk,NRC/NRR",,Gardner R L,Wolf Creek Nuclear Operating Corp,03/22/2010,05000482,"Letter,Licensee Event Report (LER)",LER 10-001-00,539.03 Kb
LER 09-008-00 for Wolf Creek Regarding Potential for Containment Fan Coolers to Not Have Automatically Started in Slow Speed.,ML100200207,"NRC/Document Control Desk,NRC/NRR",,Sunseri M W,Wolf Creek Nuclear Operating Corp,01/11/2010,05000482,"Letter,Licensee Event Report (LER)",LER 09-008-00,535.6 Kb
LER 11-004-02 for Wolf Creek Regarding Automatic Safety Injection Actuation Due to Operating Crew Failure to Follow Procedures.,ML12004A165,"NRC/Document Control Desk,NRC/NRR",,Hedges S E,Wolf Creek Nuclear Operating Corp,12/28/2011,05000482,"Letter,Licensee Event Report (LER)",LER 11-004-02,531.24 Kb
LER 11-004-00 for Wolf Creek Regarding Automatic Safety Injection Actuation Due to Operating Crew Failure to Follow Procedures.,ML11146A049,"NRC/Document Control Desk,NRC/NRR",,Hedges S E,Wolf Creek Nuclear Operating Corp,05/18/2011,05000482,"Letter,Licensee Event Report (LER)",LER 11-004-00,527.11 Kb
LER 11-004-01 for Wolf Creek Generating Station Regarding Automatic Safety Injection Actuation Due to Operation Crew Failure to Follow Procedures.,ML11279A039,"NRC/Document Control Desk,NRC/NRR",,Hedges S E,Wolf Creek Nuclear Operating Corp,09/29/2011,05000482,"Letter,Licensee Event Report (LER)",LER 11-004-01,523.13 Kb
LER 09-006-00 for Wolf Creek Regarding Inadequate Common Cause Failure Determination Results in Condition Prohibited by Technical Specifications.,ML100150073,"NRC/Document Control Desk,NRC/NRR",,Sunseri M W,Wolf Creek Nuclear Operating Corp,01/06/2010,05000482,"Letter,Licensee Event Report (LER)",LER 09-006-00,521.88 Kb
LER 09-007-00 for Wolf Creek Regarding Removal of Equipment From Service Required by Technical Specifications and NRC Safety Evaluation.,ML100200270,"NRC/Document Control Desk,NRC/NRR",,Sunseri M W,Wolf Creek Nuclear Operating Corp,01/11/2010,05000482,"Letter,Licensee Event Report (LER)",LER 09-007-00,457.04 Kb
"LER 09-006-01, for Wolf Creek Regarding Inadequate Common Cause Failure Determination Results in Condition Prohibited by Technical Specifications.",ML101810352,"NRC/Document Control Desk,NRC/NRR",,Gardner R L,Wolf Creek Nuclear Operating Corp,06/24/2010,05000482,"Letter,Licensee Event Report (LER)",LER 09-006-01,453.53 Kb
"LER 09-009-01, for Wolf Creek, Regarding Defeating Feedwater Isolation on Low Tavg Coincident with P-4 Function Results in Missed Mode Change.",ML100890421,"NRC/Document Control Desk,NRC/NRR",,Gardner R L,Wolf Creek Nuclear Operating Corp,03/22/2010,05000482,"Letter,Licensee Event Report (LER)",LER 09-009-01,447.47 Kb
LER 08-002-02 for Wolf Creek re Technical Specification Allowed Outage Time Exceeded Due to Room Cooler Leak.,ML101810254,"NRC/Document Control Desk,NRC/NRR",,Gardner R L,Wolf Creek Nuclear Operating Corp,06/24/2010,05000482,"Letter,Licensee Event Report (LER)",LER 08-002-02,407.38 Kb
LER 09-009-00 for Wolf Creek Regarding Defeating Feedwater Isolation on Low Tavg Coincident with P-4 Function Results in Missed Mode Change.,ML100150071,"NRC/Document Control Desk,NRC/NRR",,Sunseri M W,Wolf Creek Nuclear Operating Corp,01/07/2010,05000482,"Letter,Licensee Event Report (LER)",LER 09-009-00,406.5 Kb
LER 10-007-01 for Wolf Creek Regarding Post-Fire Safe Shutdown Fire-Induced Multiple Spurious Operation Issues.,ML12202A097,"NRC/Document Control Desk,NRC/NRR",,Sunseri M W,Wolf Creek Nuclear Operating Corp,07/09/2012,05000482,"Letter,Licensee Event Report (LER)",LER 10-007-01,404.21 Kb
"LER 12-005-00 for Wolf Creek Nuclear Generating Station Regarding Calculation Assumptions Lead to Inadequate Procedure, Resulting in LCO 3.0.3 Entry Due to Non- Functional Class 1 E Electrical Equipment Air Conditioning Unit.",ML12214A433,"NRC/Document Control Desk,NRC/NRR",,Sunseri M W,Wolf Creek Nuclear Operating Corp,07/23/2012,05000482,"Letter,Licensee Event Report (LER)",LER 12-005-00,391.95 Kb
"LER 10-007-00, for Wolf Creek Generating Station, regarding Post-Fire Safe Shutdown Fire-Induced Multiple Spurious Operation Issues.",ML101800148,"NRC/Document Control Desk,NRC/NRR",,Hedges S E,Wolf Creek Nuclear Operating Corp,06/21/2010,05000482,"Letter,Licensee Event Report (LER)",LER 10-007-00,380.05 Kb
