Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Date Added,Document Date,Docket Number,Document Type,Size
"LER 10-001-00 for Arkansas Nuclear One, Unit 1, Regarding Main Steam Safety Valves not Within Limits due to Seat Bonding and Transient-Induced Drift Resulting in a Condition Prohibited by Technical Specifications.",ML101370245,"NRC/Document Control Desk,NRC/NRR",,Bice D B,"Entergy Operations, Inc",05/25/2010 09:19 AM EDT,05/14/2010,05000313,"Letter,Licensee Event Report (LER)",119.93 Kb
"LER 10-002-00 for Arkansas Nuclear One, Unit 1 Regarding Reactor Coolant System Pressure Boundary Leakage Due to Primary Water Stress Corrosion Cracking of Pressurizer Level Instrument Tap Resulted in Degradation of a Principal Safety Barrier.",ML101470244,"NRC/Document Control Desk,NRC/NRR",,Bice D B,"Entergy Operations, Inc",06/07/2010 09:21 AM EDT,05/26/2010,05000313,Licensee Event Report (LER),143.81 Kb
"LER 10-003-00 for Arkansas Nuclear One, Unit 1 Regarding Manual Reactor Scram Conservatively Initiated After Multiple Abnormal Events Occurred During Plant Startup From Refueling Outage.",ML101600698,"NRC/Document Control Desk,NRC/NRR",,Bice D B,"Entergy Operations, Inc",06/17/2010 08:47 AM EDT,06/09/2010,05000313,Licensee Event Report (LER),124.07 Kb
"LER 10-004-00 for Arkansas Nuclear One, Unit 1, Regarding Automatic Reactor Protection System Actuation that Resulted in a Reactor Trip Due to Inadequate Procedure Use and Adherence and Workers Acting Independently.",ML101750581,"NRC/Document Control Desk,NRC/NRR",,Bice D B,"Entergy Operations, Inc",07/02/2010 09:16 AM EDT,06/22/2010,05000313,"Letter,Licensee Event Report (LER)",139.32 Kb
"LER 11-001-00 for Arkansas Nuclear One, Unit 1, Regarding Violation of Technical Specification Due to the Failure to Enter the Appropriate Technical Specification or Complete the Associated Required Action Prior to the Appropriate Completion Time.",ML111020252,"NRC/Document Control Desk,NRC/NRR",,Pyle S L,"Entergy Operations, Inc",04/20/2011 08:15 AM EDT,04/11/2011,05000313,"Letter,Licensee Event Report (LER)",200.18 Kb
"LER 12-001-00 for Arkansas Nuclear One - Unit 1, re Violation of Technical Specification Due to  Failure to Enter the Appropriate Technical Specifications or Complete the Associated Required Actions Due to Misapplication of Technical Specification Bases.",ML12103A398,"NRC/Document Control Desk,NRC/NRR",,Schwarz C J,"Entergy Operations, Inc",04/20/2012 08:53 AM EDT,04/12/2012,05000313,"Letter,Licensee Event Report (LER)",140.23 Kb
"LER 12-002-00 for Arkansas Nuclear One - Unit 1, Re: Inoperable Main Feedwater Startup Valve and Low Load Valve Controllers Due to Degraded Resistor in Integrated Control System Auxiliary Relay Results in Condition Prohibited by Technical Specification.",ML12103A399,"NRC/Document Control Desk,NRC/NRR",,Schwarz C J,"Entergy Operations, Inc",04/20/2012 08:54 AM EDT,04/12/2012,05000313,"Letter,Licensee Event Report (LER)",147.04 Kb
"LER 13-002-00 for Arkansas Nuclear One - Unit 2, Regarding an Inoperable Emergency Control Room Chiller Due to Maintenance Error Results in a Prevented Safety Function.",ML13094A094,"NRC/NRR,NRC/Document Control Desk",,Browning J G,"Entergy Operations, Inc",04/12/2013 08:33 AM EDT,04/04/2013,"05000313,05000368","Letter,Licensee Event Report (LER)",262.89 Kb
"LER 13-001-00 for Arkansas Nuclear One, Unit 1 Regarding Collapse of a Main Generator Stator Temporary Lift Assembly Results in a Fatality, Multiple Injuries, a Plant Scram, a Notification of Unusual Event, and Dual Unit Structural Damage.",ML13144A220,"NRC/NRR,NRC/Document Control Desk",,Browning J G,"Entergy Operations, Inc",06/04/2013 08:29 AM EDT,05/24/2013,"05000313,05000368","Letter,Licensee Event Report (LER)",152.29 Kb
"LER 13-001-01 for Arkansas Nuclear One - Unit 1 Regarding Collapse of a Main Generator Stator Temporary Lift Assembly Results in a Fatality, Multiple Injuries, a Plant Scram, a Notification of Unusual Event, and Dual Unit Structural Damage.",ML13234A241,"NRC/Document Control Desk,NRC/NRR",,Browning J G,"Entergy Operations, Inc",08/30/2013 09:00 AM EDT,08/22/2013,"05000313,05000368","Letter,Licensee Event Report (LER)",157 Kb
"LER 14-001-00 for Arkansas Nuclear One, Unit 1 Regarding Inadequate External Flood Protection for Safety-Related Equipment Located Below the Design Basis Flood Elevation.",ML14125A483,"NRC/Document Control Desk,NRC/NRR",,Browning J G,"Entergy Operations, Inc",02/11/2015 11:19 AM EST,05/05/2014,05000313,"Letter,Licensee Event Report (LER)",131.43 Kb
"LER 14-002-00 for Arkansas Nuclear One - Unit 1, Regarding Special Report - Significant Change in Peak Cladding Temperature.",ML14357A098,"NRC/Document Control Desk,NRC/NRR",,Pyle S L,"Entergy Operations, Inc",01/05/2015 08:50 AM EST,12/22/2014,05000313,"Letter,Licensee Event Report (LER)",255.02 Kb
