Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Date Added,Document Date,Docket Number,Document Type,Size
"LER 09-005-00 for Arkansas Nuclear One, Unit 2, Re: Manual Reactor Scram and Emergency Feedwater Automatic Actuation Due to An Unexpected Plant Response Following the Loss of a Main Feedwater Pump at Full Power.",ML100331170,"NRC/Document Control Desk,NRC/NRR",,Bice D B,"Entergy Operations, Inc",02/12/2010 09:05 AM EST,02/02/2010,05000368,"Letter,Licensee Event Report (LER)",124.68 Kb
"LER 10-001-00 for Arkansas Nuclear One, Unit 2, Regarding An Incorrect Core Protection Calculator Addressable Constant Induced By Personnel Error Resulted In A Condition Prohibited By Technical Specifications.",ML100840715,"NRC/Document Control Desk,NRC/NRR",,Bice D B,"Entergy Operations, Inc",04/02/2010 07:11 AM EDT,03/25/2010,05000368,"Letter,Licensee Event Report (LER)",125.23 Kb
LER 10-002-00 for Arkansas Nuclear One Unit 2 Regarding Completion of a Plant Shutdown Required By Technical Specifications Due to the Inability to Restore an Emergency Diesel Generator to Operable Status within the Allowed Outage Time.,ML102950066,"NRC/NRR,NRC/Document Control Desk",,Pyle S L,"Entergy Operations, Inc",11/01/2010 08:42 AM EDT,10/21/2010,05000368,"Letter,Licensee Event Report (LER)",142.53 Kb
"LER 12-001-00 for Arkansas Nuclear One, Unit 2, Regarding Degraded Condenser Vacuum Due to the Failure of Condenser Vacuum Pump Solenoid Valves Results in a Main Turbine Trip and Subsequent Automatic Reactor Trip.",ML12271A312,"NRC/NRR,NRC/Document Control Desk",,Schwarz C J,"Entergy Operations, Inc",10/05/2012 08:58 AM EDT,09/27/2012,05000368,"Letter,Licensee Event Report (LER)",139.21 Kb
"LER 13-001-00 for Arkansas Nuclear One, Unit 2, ""A Degraded Plant Protection System Test Switch Results in Invalid System Actuations During Testing"".",ML13053A077,"NRC/NRR,NRC/Document Control Desk",,Browning J G,"Entergy Operations, Inc",03/04/2013 08:44 AM EST,02/21/2013,05000368,"Letter,Licensee Event Report (LER)",143.33 Kb
"LER 13-002-00 for Arkansas Nuclear One - Unit 2, Regarding an Inoperable Emergency Control Room Chiller Due to Maintenance Error Results in a Prevented Safety Function.",ML13094A094,"NRC/NRR,NRC/Document Control Desk",,Browning J G,"Entergy Operations, Inc",04/12/2013 08:33 AM EDT,04/04/2013,"05000313,05000368","Letter,Licensee Event Report (LER)",262.89 Kb
"LER 13-001-00 for Arkansas Nuclear One, Unit 1 Regarding Collapse of a Main Generator Stator Temporary Lift Assembly Results in a Fatality, Multiple Injuries, a Plant Scram, a Notification of Unusual Event, and Dual Unit Structural Damage.",ML13144A220,"NRC/NRR,NRC/Document Control Desk",,Browning J G,"Entergy Operations, Inc",06/04/2013 08:29 AM EDT,05/24/2013,"05000313,05000368","Letter,Licensee Event Report (LER)",152.29 Kb
"LER 13-001-01 for Arkansas Nuclear One - Unit 1 Regarding Collapse of a Main Generator Stator Temporary Lift Assembly Results in a Fatality, Multiple Injuries, a Plant Scram, a Notification of Unusual Event, and Dual Unit Structural Damage.",ML13234A241,"NRC/Document Control Desk,NRC/NRR",,Browning J G,"Entergy Operations, Inc",08/30/2013 09:00 AM EDT,08/22/2013,"05000313,05000368","Letter,Licensee Event Report (LER)",157 Kb
"LER 13-003-00 for Arkansas Nuclear One - Unit 2, Regarding an Inoperable Offsite Power Supply Transformer Due to an Inadequate Design Configuration Results in a Condition Prohibited by Technical Specifications.",ML13295A079,"NRC/Document Control Desk,NRC/NRR",,Browning J G,"Entergy Operations, Inc",10/30/2013 02:16 PM EDT,10/21/2013,05000368,"Letter,Licensee Event Report (LER)",117.67 Kb
"LER 13-004-00 for Arkansas Nuclear One, Unit 2 Regarding Fire and Explosion of the Unit Auxiliary Transformer Resulted in an Automatic Reactor Scram and Initiation of the Emergency Feedwater System.",ML14037A205,"NRC/Document Control Desk,NRC/NRR",,Browning J G,"Entergy Operations, Inc",02/14/2014 09:28 AM EST,02/05/2014,05000368,"Letter,Licensee Event Report (LER)",123.41 Kb
"LER 14-01-00 for Arkansas Nuclear One, Unit 2 Regarding Operation of Switchgear Rooms Ventilation Prohibited by Technical Specifications.",ML14135A246,"NRC/Document Control Desk,NRC/NRR",,Browning J G,"Entergy Operations, Inc",05/23/2014 09:05 AM EDT,05/15/2014,05000368,"Letter,Licensee Event Report (LER)",125.49 Kb
"LER 14-002-00 for Arkansas Nuclear One - Unit 2, Regarding Automatic Reactor and Main Generator Trip with a Subsequent Emergency Feedwater Actuation and Start of an Emergency Diesel Generator.",ML14153A389,"NRC/Document Control Desk,NRC/NRR",,Browning J G,"Entergy Operations, Inc",06/10/2014 08:21 AM EDT,06/02/2014,05000368,"Letter,Licensee Event Report (LER)",122.34 Kb
"LER 14-003-00 for Arkansas Nuclear One - Unit 2, Regarding Axial Shape Index Trip at the End-of-Life During Rapid Plant Shutdown.",ML14177A307,"NRC/Document Control Desk,NRC/NRR",,Browning J G,"Entergy Operations, Inc",07/07/2014 09:00 AM EDT,06/26/2014,05000368,"Letter,Licensee Event Report (LER)",41.47 Kb
"LER 14-004-00 for Arkansas Nuclear One, Unit 2, Regarding Technical Specification 3.0.4 Violation due to a Mode Change with an Inoperable Emergency Feedwater Pump.",ML14223A683,"NRC/Document Control Desk,NRC/NRR",,Pyle S L,"Entergy Operations, Inc",08/19/2014 07:55 AM EDT,08/11/2014,05000368,"Letter,Licensee Event Report (LER)",38.64 Kb
"LER 14-004-01 for Arkansas Nuclear One - Unit 2, Regarding Technical Specification 3.0.4 Violation due to a Mode Change with an Inoperable Emergency Feedwater Pump.",ML14301A047,"NRC/Document Control Desk,NRC/NRR",,Pyle S L,"Entergy Operations, Inc",11/05/2014 07:55 AM EST,10/24/2014,05000368,"Letter,Licensee Event Report (LER)",338.05 Kb
