Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Date Added,Document Date,Docket Number,Document Type,Size
"LER 10-001-00 for Comanche Peak, Unit 1, Regarding Trip due to Pressure Relay Actuation on Main Transformer 01.",ML100740293,"NRC/Document Control Desk,NRC/NRR",,"Flores R,Madden F W","Luminant Generation Co, LLC,Luminant Power",03/23/2010 07:22 AM EDT,03/03/2010,05000445,"Letter,Licensee Event Report (LER)",286.16 Kb
LER 10-002-00 for Comanche Peak Regarding Loss of Automatic Initiation of Auxiliary Feedwater Upon Loss of Main Feedwater.,ML100880111,"NRC/Document Control Desk,NRC/NRR",,Madden F W,"Luminant Generation Co, LLC,Luminant Power",04/06/2010 08:22 AM EDT,03/18/2010,"05000445,05000446","Letter,Licensee Event Report (LER)",348.91 Kb
"LER 10-001-00, Comanche Peak, Unit 2, Loss of XST1 Due to Breakers 7030 and 7040 Opening as a Result of a B-Phase to Ground Fault.",ML101680412,"NRC/Document Control Desk,NRC/NRR",,Flores R,"Luminant Generation Co, LLC,Luminant Power",06/25/2010 08:57 AM EDT,06/07/2010,"05000445,05000446","Letter,Licensee Event Report (LER)",357.89 Kb
LER 10-002-01 for Comanche Peak Nuclear Power Plant Unit 1 Regarding Loss of Automatic Initiation of Auxiliary Feedwater Upon Loss of Main Feedwater.,ML101810253,"NRC/Document Control Desk,NRC/NRR",,Madden F W,Luminant Power,07/09/2010 09:49 AM EDT,06/23/2010,"05000445,05000446","Letter,Licensee Event Report (LER)",357.39 Kb
"LER 10-003-00 for Comanche Peak Nuclear Power Plant, regarding Inadequate Surveillance Test Procedure Resulting in Failure to Meet TS Requirements.",ML102360441,"NRC/Document Control Desk,NRC/NRR",,"Flores R,Madden F W","Luminant Generation Co, LLC,Luminant Power",09/01/2010 09:00 AM EDT,08/17/2010,"05000445,05000446","Letter,Licensee Event Report (LER)",238.77 Kb
"LER 10-004-00, for Comanche Peak regarding Component Cooling Water train Inoperable Due to Inadequate Post Work Test Procedure.",ML102510153,"NRC/Document Control Desk,NRC/NRR",,"Flores R,Madden F W","Luminant Generation Co, LLC,Luminant Power",09/16/2010 09:07 AM EDT,08/31/2010,05000445,"Letter,Licensee Event Report (LER)",442.11 Kb
"LER 10-003-01 for Comanche Peak Plant, Unit 1, Regarding Inadequate Surveillance Test Procedure Resulting in Failure to Meet TS Requirements.",ML103270060,"NRC/NRR,NRC/Document Control Desk",,Madden F W,Luminant Power,12/02/2010 09:16 AM EST,11/16/2010,"05000445,05000446","Letter,Licensee Event Report (LER)",266.76 Kb
"LER 11-001-00, for Comanche Peak, Units 1 & 2, Regarding Potential for Steam Voiding Causing Residual Heat Removal System Inoperability.",ML11145A112,"NRC/Document Control Desk,NRC/NRR",,Lucas M L,Luminant Power,06/03/2011 08:24 AM EDT,05/18/2011,"05000445,05000446","Letter,Licensee Event Report (LER)",343.17 Kb
"LER 11-002-00 for Comanche Peak, Unit 1 Regarding Containment Personnel Airlock (PAL) Door Inoperable.",ML11327A030,"NRC/Document Control Desk,NRC/NRR",,"Flores R,Madden F W","Luminant Generation Co, LLC,Luminant Power",12/02/2011 09:10 AM EST,11/16/2011,05000445,"Letter,Licensee Event Report (LER)",302.51 Kb
"LER 11-003-00 for Comanche Peak Nuclear Power Plant Unit 1, Regarding Unsuitable Material on Containment Airlock.",ML11363A177,"NRC/Document Control Desk,NRC/NRR",,Flores R,"Luminant Power,Luminant Generation Co, LLC",01/09/2012 08:49 AM EST,12/19/2011,"05000445,05000446","Letter,Licensee Event Report (LER)",447.99 Kb
