Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Date Added,Document Date,Docket Number,Document Type,Size
"LER 09-002-01 for Diablo Canyon, Unit 2 Regarding Technical Specification 3.7.1 Violation Due to Cracked Value Spring.",ML100270222,"NRC/Document Control Desk,NRC/NRR",,Becker J R,Pacific Gas & Electric Co,02/04/2010 09:53 AM EST,01/22/2010,05000323,"Letter,Licensee Event Report (LER)",463.88 Kb
"LER 10-001-00 for Diablo Canyon, Unit 1, Regarding Control Room Ventilation Pressurization Due to Radiation Detector Failures.",ML100550886,"NRC/Document Control Desk,NRC/NRR",,Becker J R,Pacific Gas & Electric Co,03/04/2010 07:59 AM EST,02/17/2010,"05000275,05000323","Letter,Licensee Event Report (LER)",295.62 Kb
"LER 10-001-00 for Diablo Canyon, Unit 2, Regarding 2008 Loss of Auxiliary Building Ventilation System Exhaust Fans.",ML100880112,"NRC/Document Control Desk,NRC/NRR",,Becker J R,Pacific Gas & Electric Co,04/06/2010 08:21 AM EDT,03/17/2010,"05000275,05000323","Letter,Licensee Event Report (LER)",295.71 Kb
"LER 10-002-00 for Diablo Canyon, Unit 1 Regarding Potential Loss of Safety-related Pumps due to Degraded Voltage During Postulated Accidents.",ML101380663,"NRC/Document Control Desk,NRC/NRR",,Becker J R,Pacific Gas & Electric Co,05/26/2010 09:40 AM EDT,05/10/2010,"05000275,05000323","Letter,Licensee Event Report (LER)",327.2 Kb
"LER 10-002-00, Diablo Canyons, Units 1 and 2 - Potential Loss of Safety-Related Pumps Due to Degraded Voltage During Postulated Accidents.",ML101310041,"NRC/Document Control Desk,NRC/NRR",,Becker J R,Pacific Gas & Electric Co,05/19/2010 08:15 AM EDT,05/10/2010,"05000275,05000323","Letter,Licensee Event Report (LER)",936.13 Kb
LER 10-002-01 for Diablo Canyon Unit 1 re: Potential Loss of Safety-Related Pumps due to Degraded Voltage During Postulated Accidents.,ML101940061,"NRC/Document Control Desk,NRC/NRR",,Becker J R,Pacific Gas & Electric Co,07/21/2010 09:44 AM EDT,07/02/2010,"05000275,05000323","Letter,Licensee Event Report (LER)",457.76 Kb
"LER 10-002-00, for Diablo Canyon, Units 1 & 2 regarding DCPP Unit 2 SI Test Line Unanalyzed Condition.",ML102230029,"NRC/Document Control Desk,NRC/NRR",,Becker J R,Pacific Gas & Electric Co,08/19/2010 08:46 AM EDT,08/05/2010,"05000275,05000323","Letter,Licensee Event Report (LER)",378.12 Kb
"LER 10-003-00 for Diablo Canyon, Unit 1 re: DCPP 230 kV Historical Evaluation of Condition Prohibited by Technical Specification.",ML102230033,"NRC/Document Control Desk,NRC/NRR",,Becker J R,Pacific Gas & Electric Co,08/19/2010 08:46 AM EDT,08/06/2010,"05000275,05000323","Letter,Licensee Event Report (LER)",337.21 Kb
"LER 10-001-01, for Diablo Canyon, Unit 1, Regarding Common Cause Control Room Ventilation Radiation Detector Failures.",ML102420045,"NRC/Document Control Desk,NRC/NRR",,Becker J R,Pacific Gas & Electric Co,09/08/2010 08:49 AM EDT,08/27/2010,"05000275,05000323","Letter,Licensee Event Report (LER)",913.42 Kb
"LER 10-002-02, Diablo Canyon, Unit 1 re: Potential Loss of Safety-Related Pumps Due to Degraded Voltage During Postulated Accidents.",ML102780485,"NRC/Document Control Desk,NRC/NRR",,Becker J R,Pacific Gas & Electric Co,10/14/2010 08:50 AM EDT,09/24/2010,"05000275,05000323","Letter,Licensee Event Report (LER)",486.01 Kb
