Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report
"LER 07-005-01, Palo Verde, Unit 1 - Inadequate Surveillance Test Procedure Resulted in Failure to Meet Surveillance Requirement.",ML102100030,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,7/21/10,"50,005,280,500,052,900,000,000","Letter,Licensee Event Report (LER)",LER 07-005-01
"LER 09-002-00 for Palo Verde, Unit 1, Will Not be Used, Event Subsequently Determined Not to be Reportable.",ML101310395,"NRC/Document Control Desk,NRC/NRR",,Weber T N,Arizona Public Service Co,4/30/10,5000528,"Letter,Licensee Event Report (LER)",LER 09-002-00
"LER 10-001-00, for Palo Verde, Unit 1 re Automatic Reactor Trip Due to a Loss of a Non-Class 13.8 kV (Calvert) Bus.",ML101330267,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,5/6/10,5000528,"Letter,Licensee Event Report (LER)",LER 10-001-00
"LER 10-002-00 for Palo Verde, Units 1, 2, and 3, Regarding Main Steam Isolation Bypass Valve Calculation Error Resulting in Operation Prohibited by Tech Spec.",ML101970062,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,7/6/10,"50,005,280,500,052,900,000,000","Letter,Licensee Event Report (LER)",LER 10-002-00
"LER 10-003-00 for Palo Verde, Unit 1, Regarding Technical Specification Violation - Loss of Containment Building Equipment Hatch Closure Capability.",ML101970061,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,7/7/10,5000528,"Letter,Licensee Event Report (LER)",LER 10-003-00
"LER 11-001-00, for Palo Verde, Unit 1, Regarding Unit 1 and Unit 3 Emergency Diesel Generator Actuation on Loss of Offsite Power to Class 4.16kV Bus.",ML111250578,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,4/22/11,"500,052,805,000,530","Letter,Licensee Event Report (LER)",LER 11-001-00
"LER 11-001-01 for Palo Verde Nuclear Generating Station, Units 1 and 3, Regarding Emergency Diesel Generator Actuation on Loss of Offsite Power to Class 4.16kV Bus.",ML12228A389,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,8/3/12,"500,052,805,000,530","Letter,Licensee Event Report (LER)",LER 11-001-01
"LER 11-002-00, For Palo Verde, Unit 1, Regarding Nonconforming Condition Renders the Qualified Safety Parameter Display System Inoperable.",ML11250A101,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,8/29/11,5000528,"Letter,Licensee Event Report (LER)",LER 11-002-00
"LER 11-002-01 for Palo Verde Nuclear Generating Station, Unit 1, Regarding Nonconforming Condition Renders the Qualified Safety Parameter Display System Inoperable.",ML12258A371,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,9/11/12,5000528,"Letter,Licensee Event Report (LER)",LER 11-002-01
"LER 11-003-00, for Palo Verde, Unit 1, regarding Control Room Essential Filtration Misalignment Resulting in Condition Prohibited by Technical Specifications.",ML11257A129,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,9/6/11,"50,005,280,500,052,900,000,000","Letter,Licensee Event Report (LER)",LER 11-003-00
"LER 11-003-01 for Palo Verde, Unit 1 Regarding Control Room Essential Filtration Misalignment Resulting in Condition Prohibited by Technical Specifications.",ML12031A146,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,1/17/12,"50,005,280,500,052,900,000,000","Letter,Licensee Event Report (LER)",LER 11-003-01
LER 11-003-01 for Palo Verde Nuclear Generating Station (PVNGS) Unit 1 Regarding Control Room Essential Filtration Misalignment Resulting in Condition Prohibited by Technical Specifications.,ML12072A117,"NRC/Document Control Desk,NRC/NRR",,Weber T N,Arizona Public Service Co,2/24/12,"50,005,280,500,052,900,000,000","Letter,Licensee Event Report (LER)",LER 11-003-01
"LER 11-004-00 for Palo Verde, Unit 1 Regarding Reactor Trip Due to Reactor Protection System Actuation which Resulted from a Dropped CEA.",ML11291A011,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,10/5/11,5000528,"Letter,Licensee Event Report (LER)",LER 11-004-00
"LER 11-005-00, for Palo Verde, Unit 1, Regarding Manual Reactor Trip Due to Slipped Control Elemental Assemblies.",ML12039A086,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,1/23/12,5000528,"Letter,Licensee Event Report (LER)",LER 11-005-00
"LER 11-005-01 for Palo Verde, Unit 1, Regarding Manual Reactor Trip due to Slipped Control Element Assemblies.",ML12193A091,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,6/21/12,5000528,"Letter,Licensee Event Report (LER)",LER 11-005-01
"LER 12-001-00, for Palo Verde, Unit 1, Regarding Technical Specification LCO 3.1.7 Incorrect PDIL Setpoint Values.",ML12139A130,"NRC/Document Control Desk,NRC/NRR",,Mims D C,"Arizona Public Service Co,Pinnacle West Capital Corp",5/4/12,"50,005,280,500,052,900,000,000","Letter,Licensee Event Report (LER)",LER 12-001-00
"LER 12-002-00 for Palo Verde Nuclear Generating Station Units 1, 2 and 3, Supported Systems Not Considered Inoperable With Support Equipment Inoperable.",ML12202A091,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,7/9/12,"50,005,280,500,052,900,000,000","Letter,Licensee Event Report (LER)",LER 12-002-00
"LER 12-003-00 for Palo Verde, Unit 1, Regarding Main Steam Isolation Valve Actuator Train Inoperable Due to Low Nitrogen Pre-Charge Pressure.",ML12258A372,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,9/11/12,5000528,"Letter,Licensee Event Report (LER)",LER 12-003-00
"LER 12-004-00 for Palo Verde, Unit 1 Regarding Essential Spray Pond Pump Actuation Due to a Control Room Essential Filtration Actuation Signal.",ML12310A363,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,10/29/12,5000528,"Letter,Licensee Event Report (LER)",LER 12-004-00
"LER 12-005-00 for Palo Verde, Units 1, 2 & 3, ""Condition Prohibited by Technical Specifications due to Remote Shutdown System Control Circuit Deficiencies"".",ML13051A041,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,2/12/13,"50,005,280,500,052,900,000,000","Letter,Licensee Event Report (LER)",LER 12-005-00
"LER 12-005-01 for Palo Verde Nuclear Generating Station, Units 1, 2 and 3, ""Condition Prohibited by Technical Specifications due to Remote Shutdown System Control Circuit Deficiencies"".",ML13283A083,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,10/7/13,"50,005,280,500,052,900,000,000","Letter,Licensee Event Report (LER)",LER 12-005-01
"LER 12-006-00, for Palo Verde, Unit 1 Regarding Safety Injection System Check Valve Testing Could Have Resulted in Less than Required Injection Flow.",ML13056A003,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,2/19/13,"50,005,280,500,052,900,000,000","Letter,Licensee Event Report (LER)",LER 12-006-00
"LER 13-001-00 for Palo Verde Nuclear Generating Station (PVNGS) Unit 1, ""Unanalyzed Condition Due to Spent Fuel Pool Criticality Analysis of Record Not Updated for Power Uprate"".",ML13133A002,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,5/7/13,"50,005,280,500,052,900,000,000","Letter,Licensee Event Report (LER)",LER 13-001-00
