Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report,Size
LER 13-001-01 for Palo Verde Regarding Leakage on Reactor Vessel Bottom-Mounted Instrumentation Nozzle 3.,ML14177A533,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,06/24/2014,05000530,"Letter,Licensee Event Report (LER)",LER 13-001-01,3.24 Mb
"LER 13-001-00 for Palo Verde, Unit 3, Regarding Leakage on Reactor Vessel Bottom-Mounted Instrumentation Nozzle 3.",ML13350A017,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,12/06/2013,05000530,"Letter,Licensee Event Report (LER)",LER 13-001-00,2.56 Mb
"LER 12-002-00 for Palo Verde Nuclear Generating Station Units 1, 2 and 3, Supported Systems Not Considered Inoperable With Support Equipment Inoperable.",ML12202A091,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,07/09/2012,"05000528,05000529,05000530","Letter,Licensee Event Report (LER)",LER 12-002-00,1.18 Mb
"LER 12-005-01 for Palo Verde Nuclear Generating Station, Units 1, 2 and 3, ""Condition Prohibited by Technical Specifications due to Remote Shutdown System Control Circuit Deficiencies"".",ML13283A083,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,10/07/2013,"05000528,05000529,05000530","Letter,Licensee Event Report (LER)",LER 12-005-01,784.11 Kb
"LER 12-006-00, for Palo Verde, Unit 1 Regarding Safety Injection System Check Valve Testing Could Have Resulted in Less than Required Injection Flow.",ML13056A003,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,02/19/2013,"05000528,05000529,05000530","Letter,Licensee Event Report (LER)",LER 12-006-00,606.49 Kb
"LER 07-005-01, Palo Verde, Unit 1 - Inadequate Surveillance Test Procedure Resulted in Failure to Meet Surveillance Requirement.",ML102100030,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,07/21/2010,"05000528,05000529,05000530","Letter,Licensee Event Report (LER)",LER 07-005-01,545.54 Kb
"LER 12-005-00 for Palo Verde, Units 1, 2 & 3, ""Condition Prohibited by Technical Specifications due to Remote Shutdown System Control Circuit Deficiencies"".",ML13051A041,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,02/12/2013,"05000528,05000529,05000530","Letter,Licensee Event Report (LER)",LER 12-005-00,508.46 Kb
"LER 13-002-00 for Palo Verde Nuclear Generating Station (PVNGS) Unit 3, ""Condition Prohibited by Technical Specifications During Dropped Control Element Assembly Recovery"".",ML14038A078,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,02/03/2014,05000530,"Letter,Licensee Event Report (LER)",LER 13-002-00,490.7 Kb
"LER 13-001-00 for Palo Verde Nuclear Generating Station (PVNGS) Unit 1, ""Unanalyzed Condition Due to Spent Fuel Pool Criticality Analysis of Record Not Updated for Power Uprate"".",ML13133A002,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,05/07/2013,"05000528,05000529,05000530","Letter,Licensee Event Report (LER)",LER 13-001-00,482.75 Kb
"LER 13-003-00 for Palo Verde Nuclear Generating Station Units 1, 2, and 3, ""Appendix R Unanalyzed Condition - Direct Current Ammeter Circuits Without Overcurrent Protection"".",ML13339A743,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,12/03/2013,"05000528,05000529,05000530","Letter,Licensee Event Report (LER)",LER 13-003-00,464.08 Kb
"LER 11-003-01 for Palo Verde, Unit 1 Regarding Control Room Essential Filtration Misalignment Resulting in Condition Prohibited by Technical Specifications.",ML12031A146,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,01/17/2012,"05000528,05000529,05000530","Letter,Licensee Event Report (LER)",LER 11-003-01,460.01 Kb
"LER 09-001-00 for Palo Verde, Unit 3 Regarding Manual Reactor Trip Due to a Loss of Instrument Air to the Containment Building.",ML100490747,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,02/01/2010,05000530,"Letter,Licensee Event Report (LER)",LER 09-001-00,444 Kb
"LER 11-003-00, for Palo Verde, Unit 1, regarding Control Room Essential Filtration Misalignment Resulting in Condition Prohibited by Technical Specifications.",ML11257A129,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,09/06/2011,"05000528,05000529,05000530","Letter,Licensee Event Report (LER)",LER 11-003-00,433.78 Kb
"LER 12-001-00, for Palo Verde, Unit 1, Regarding Technical Specification LCO 3.1.7 Incorrect PDIL Setpoint Values.",ML12139A130,"NRC/Document Control Desk,NRC/NRR",,Mims D C,"Arizona Public Service Co,Pinnacle West Capital Corp",05/04/2012,"05000528,05000529,05000530","Letter,Licensee Event Report (LER)",LER 12-001-00,402.42 Kb
"LER 08-001-01, Palo Verde, Unit 3 - Manual Reactor Trip When Removing a Degraded CEDM MG Set from Service.",ML102100029,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,07/21/2010,05000530,"Letter,Licensee Event Report (LER)",LER 08-001-01,396.62 Kb
"LER 10-002-01, for Palo Verde, Unit 1, Regarding Main Steam Isolation Bypass Valve Calculation Error Resulting in Operation Prohibited by Tech Spec.",ML110140541,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,12/29/2010,"05000528,05000529,05000530","Letter,Licensee Event Report (LER)",LER-10-002-01,377.74 Kb
"LER 10-003-00 for Palo Verde Nuclear Generating Station, Unit 3 Regarding Essential Cooling Water System Train A Inoperable due to Degraded Room Air Handling Unit.",ML110250474,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,01/18/2011,05000530,"Letter,Licensee Event Report (LER)",LER 10-003-00,377.64 Kb
"LER 10-002-01 for Palo Verde, Unit 3, Regarding Condition Prohibited by Technical Specification Resulting from Containment Spray Nozzle Obstruction.",ML12193A560,"NRC/Document Control Desk,NRC/NRR",,Mims D C,Arizona Public Service Co,06/27/2012,05000530,"Letter,Licensee Event Report (LER)",LER 10-002-01,369.17 Kb
