Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report
"LER 09-002-01, for South Texas Project, Unit 1 Regarding Main Steam Isolation Valve Blocked from Closing.",ML100920056,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,3/25/10,5000498,"Letter,Licensee Event Report (LER)",LER 09-002-01
"LER 10-001-00 for South Texas Project, Unit 1 re: Unit Shutdown Required by Technical Specifications.",ML101020058,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,4/5/10,5000498,"Letter,Licensee Event Report (LER)",LER 10-001-00
"LER 10-003-00 for South Texas Unit 1, regarding Unit 1 Reactor Trip During Surveillance Testing.",ML102980012,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,10/19/10,5000498,"Letter,Licensee Event Report (LER)",LER 10-003-00
"LER 10-004-00 for South Texas Project, Unit 1, Regarding North Switchyard Bus De-Energization Resulting in Loss of Offsite Power ESF Actuation on Train 1B.",ML103400088,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,11/25/10,5000498,"Letter,Licensee Event Report (LER)",LER 10-004-00
"LER 11-001-00, for South Texas, Unit 1, Regarding Technical Specification Requirement Not Met Regarding Unborated Water Sources.",ML11200A304,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,7/11/11,5000498,"Letter,Licensee Event Report (LER)",LER 11-001-00
LER 11-001-01 for South Texas Unit 1 concerning Technical Specification Requirement Not Met Regarding Unborated Water Sources.,ML12135A215,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,5/3/12,5000498,"Letter,Licensee Event Report (LER)",LER 11-001-01
"LER 12-001-00, for South Texas, Unit 1, Regarding Nuclear Instrumentation Channel NI-45A Failed Channel Check.",ML12160A072,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,5/31/12,5000498,"Letter,Licensee Event Report (LER)",LER 12-001-00
"LER 12-001-00 for South Texas Project, Unit 1, Regarding Instrumentation Channel NI-45A Failed Channel Check.",ML12178A064,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,5/31/12,5000498,"Letter,Licensee Event Report (LER)",LER 12-001-00
"LER 12-001-01, for South Texas, Unit 1, Regarding Unit 1 Nuclear Instrumentation Channel NI-45A Failed Channel Check.",ML12222A011,"NRC/Document Control Desk,NRC/NRR",,Rencurrel D W,South Texas Project Nuclear Operating Co,8/1/12,5000498,"Letter,Licensee Event Report (LER)",LER 12-001-01
"LER 13-001-00 for South Texas, Unit 1 Regarding Delta Temperature/T-Average Channel A Inoperable for Longer than Allowed by Technical Specifications.",ML13205A170,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,7/3/13,5000498,"Letter,Licensee Event Report (LER)",LER 13-001-00
"LER 13-001-01 for South Texas, Unit 1, Regarding Delta Temperature/T-Average Channel A Inoperable for Longer than Allowed by Technical Specifications.",ML13248A450,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,8/15/13,5000498,"Letter,Licensee Event Report (LER)",LER 13-001-01
"LER 13-002-00 for South Texas, Unit 1 Regarding Steam Turbine-Driven Auxiliary Feedwater Pump Flow Regulating Valve Inoperable for Longer than Allowed by Technical Specifications.",ML13219B120,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,7/29/13,5000498,"Letter,Licensee Event Report (LER)",LER 13-002-00
"LER 13-003-00 for South Texas, Unit 1, Regarding Unanalyzed Condition - Direct Current Ammeter Circuits without Overcurrent Protection.",ML14015A310,"NRC/Document Control Desk,NRC/NRR",,Meier M,South Texas Project Nuclear Operating Co,12/23/13,"500,049,805,000,499","Letter,Licensee Event Report (LER)",LER 13-003-00
"LER 14-001-00 for South Texas Project, Unit 1, Regarding Overpower Condition Relating to the Ultrasonic Flow Measurement System.",ML14119A068,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,3/24/14,5000498,"Letter,Licensee Event Report (LER)",LER 14-001-00
"South Texas Project, Unit 1, Cancellation of Licensee Event Report (LER) 2014-001-00 and Supplement LER 2014-001-01: Overpower Condition Relating to the Ultrasonic Flow Measurement System.",ML14191A637,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,6/25/14,5000498,"Letter,Licensee Event Report (LER)","LER 14-001-00,LER 14-001-01"
"LER 14-001-01 for South Texas Project, Units 1, Regarding Overpower Condition Relating to the Ultrasonic Flow Measurement System.",ML14135A190,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,4/30/14,5000498,"Letter,Licensee Event Report (LER)",LER 14-001-01
