Document Title,Accession Number,Addressee Affiliation,Addressee Name,Author Name,AuthorAffiliation,Document Date,Docket Number,Document Type,Document/Report,Size
"LER 13-002-01, South Texas Project, Unit 2, Reactor Trip Due to Main Transformer Lockout Relay Trip.",ML13156A376,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,5/23/13,5000499,"Letter,Licensee Event Report (LER)",LER 13-002-01,462.75 Kb
"LER 10-003-00 for South Texas, Unit 2, Regarding Containment Purge in Operation When Not Permitted by Technical Specifications.",ML102070104,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,7/19/10,5000499,"Letter,Licensee Event Report (LER)",LER 10-003-00,429.68 Kb
LER 13-002-00 for South Texas Unit 2 Regarding Reactor Trip Due to Main Transformer Lockout Relay Trip.,ML13079A335,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,3/7/13,5000499,"Letter,Licensee Event Report (LER)",LER 13-002-00,422.24 Kb
LER 10-001-01 for South Texas Project Unit 2 re: Essential Cooling Water System Leak.,ML101830257,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,6/27/10,5000499,"Letter,Licensee Event Report (LER)",LER 10-001-01,415.93 Kb
"LER 10-002-00 for South Texas Project, Unit 2 Regarding Unanalyzed Condition Regarding the Fire Protection System.",ML100750246,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,3/11/10,5000499,"Letter,Licensee Event Report (LER)",LER 10-002-00,406.04 Kb
"LER 13-003-01 for South Texas Project, Unit 2, ""Operational Mode Change Prohibited by Limiting Condition for Operation 3.0.4 with Limiting Conditions for Operation Unknowingly Not Met for Inoperable Essential Cooling Water Pump"".",ML13141A284,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,5/13/13,5000499,"Letter,Licensee Event Report (LER)",LER 13-003-01,400.29 Kb
"LER 11-002-00 for South Texas, Unit 2, Regarding Reactor Trip on Main Generator Lockout.",ML12037A068,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,1/30/12,5000499,"Letter,Licensee Event Report (LER)",LER 11-002-00,396.32 Kb
"LER 13-003-00 for South Texas, Unit 2 Regarding Operational Mode Change Prohibited by Limiting Condition for Operation 3.0.4 with Limiting Conditions for Operation Unknowingly Not Met for Inoperable Essential Cooling Water Pump.",ML13094A175,"NRC/Document Control Desk,NRC/NRR",,Powell G T,South Texas Project Nuclear Operating Co,3/21/13,5000499,"Letter,Licensee Event Report (LER)",LER 13-003-00,394.2 Kb
"LER 02-2010-001 for South Texas, Unit 2 Regarding Essential Cooling Water System Leak.",ML100710689,"NRC/Document Processing Center,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,3/8/10,5000499,"Letter,Licensee Event Report (LER)",LER 02-2010-001,389.95 Kb
"LER 10-004-00 for South Texas Unit 2, re: Loss of the Train A Essential Cooling Water (ECW) System Due to a Loss of the ECW Intake Structure Ventilation Fan 21A.",ML103630407,"NRC/Document Control Desk,NRC/NRR",,Peter L W,South Texas Project Nuclear Operating Co,12/20/10,5000499,"Letter,Licensee Event Report (LER)",LER 10-004-00,384.24 Kb
